id,name,assessmentType,developmentPhase,methodology,status,calculatedAt
ASS_CUSTOM,Screening assessment – Custom Gripper,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_LARGE,Screening assessment – Large Gripper,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_ADAPTIVE,Screening assessment – Adaptive Gripper,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_VACUUM,Screening assessment – Vacuum Pump / Suction Tool,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_MAGNET,Screening assessment – Electromagnet,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FLAT_PA12,Screening assessment – Custom + Flat jaws / PA12 / MJF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_PREC_PA12,Screening assessment – Custom + Precision jaws / PA12 / MJF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_XL_PA12,Screening assessment – Custom + XL jaws / PA12 / MJF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FLAT_PETG,Screening assessment – Flat jaws / PETG / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FLAT_AL,Screening assessment – Flat jaws / Al6061 / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_PREC_POM,Screening assessment – Precision jaws / POM / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_PREC_AL7075,Screening assessment – Precision jaws / Al7075 / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_XL_CFPA,Screening assessment – XL jaws / CF-PA / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_V_PA12,Screening assessment – V-groove jaws / PA12 / MJF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_V_PETG,Screening assessment – V-groove jaws / PETG / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_V_POM,Screening assessment – V-groove jaws / POM / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_V_AL,Screening assessment – V-groove jaws / Al6061 / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_CONC_PA12,Screening assessment – Concave jaws / PA12 / MJF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_CONC_POM,Screening assessment – Concave jaws / POM / CNC,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_TPU_PAD,Screening assessment – PA12 jaws + TPU pads,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_SIL_PAD,Screening assessment – Aluminum jaws + silicone pads,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FINRAY_TPU,Screening assessment – Fin-Ray fingers / TPU / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
ASS_FINRAY_TPE,Screening assessment – Fin-Ray fingers / TPE / FFF,development-accompanying sustainability screening,Concept,PCF / lifecycle screening,not calculated,
