id,name,direction,amount,unit,exchangeType,quantitativeReference,dataMaturity,comment,location
EX_PROC_MJF_FLOW_PA12_IN,Multi Jet Fusion – PA12 input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_MJF_FLOW_ELEC_IN,Multi Jet Fusion – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SLS_FLOW_PA12_IN,Selective Laser Sintering – PA12 input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SLS_FLOW_ELEC_IN,Selective Laser Sintering – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_FFF_FLOW_PETG_IN,Fused Filament Fabrication – PETG input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_FFF_FLOW_ELEC_IN,Fused Filament Fabrication – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_CNC_FLOW_AL_IN,CNC milling – Aluminum input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_CNC_FLOW_ELEC_IN,CNC milling – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_LASER_FLOW_STEEL_IN,Laser cutting – Steel input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_LASER_FLOW_ELEC_IN,Laser cutting – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_BEND_FLOW_STEEL_IN,Sheet-metal bending – Steel input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_BEND_FLOW_ELEC_IN,Sheet-metal bending – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SILCAST_FLOW_SIL_IN,Silicone casting – Silicone input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_SILCAST_FLOW_ELEC_IN,Silicone casting – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_RUBBER_FLOW_SIL_IN,Elastomer molding – Silicone input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_RUBBER_FLOW_ELEC_IN,Elastomer molding – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_OVERMOLD_FLOW_TPU_IN,Overmolding – TPU input,input,1.0,kg,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_OVERMOLD_FLOW_ELEC_IN,Overmolding – Electricity input,input,1.0,kWh,intermediate/product,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_MJF_FLOW_PART_OUT,Multi Jet Fusion – Finished gripper component output,output,1.0,pcs,intermediate/product,true,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
EX_PROC_MJF_FLOW_WASTE_OUT,Multi Jet Fusion – Manufacturing waste output,output,0.0,kg,waste,false,screening/reference,Transformed from the previous ProcessFlow representation into an ILCD-like exchange.,
