id,name,flowType,category,referenceUnit,casNumber,status,description,source,sourceDatabase
FLOW_PA12,PA12,ProductFlow,material,kg,,candidate,Intermediate/product flow for PA12,,
FLOW_PETG,PETG,ProductFlow,material,kg,,candidate,Intermediate/product flow for PETG,,
FLOW_ALUMINUM,Aluminum,ProductFlow,material,kg,,candidate,Intermediate/product flow for aluminum,,
FLOW_STEEL,Steel,ProductFlow,material,kg,,candidate,Intermediate/product flow for steel,,
FLOW_TPU,TPU,ProductFlow,material,kg,,candidate,Intermediate/product flow for TPU,,
FLOW_SILICONE,Silicone,ProductFlow,material,kg,,candidate,Intermediate/product flow for silicone,,
FLOW_ELECTRICITY,Electricity,ProductFlow,energy,kWh,,candidate,Electricity input as intermediate/product flow,,
FLOW_COMPONENT,Finished gripper component,ProductFlow,product,pcs,,candidate,Reference product output,,
FLOW_WASTE,Manufacturing waste,WasteFlow,waste,kg,,candidate,Generic waste flow,,
FLOW_CO2_FOSSIL,Carbon dioxide, fossil,ElementaryFlow,emission,kg,124-38-9,reference,Elementary flow included for ILCD-compatible extension,,
01b3863d-e1f8-4396-b9e0-7b2fdf812735,nitrogen, total (excluding N2),ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
01fb7ed6-2137-4226-ad46-438965f1bb78,Oils, unspecified,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
03caafaa-5885-47d5-bef1-387d0d46b945,Hazardous waste (deposited),WasteFlow,Wastes / Other waste,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
041f5cea-6556-11dd-ad8b-0800200c9a66,phosphorus,ElementaryFlow,Resources / Resources from ground,kg,007723-14-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
041fab30-6556-11dd-ad8b-0800200c9a66,platinum,ElementaryFlow,Resources / Resources from ground,kg,007440-06-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
041ff933-6556-11dd-ad8b-0800200c9a66,potassium,ElementaryFlow,Resources / Resources from ground,kg,007440-09-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
041ff934-6556-11dd-ad8b-0800200c9a66,potassium chloride,ElementaryFlow,Resources / Resources from ground,kg,007447-40-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
041ff94d-6556-11dd-ad8b-0800200c9a66,praseodymium,ElementaryFlow,Resources / Resources from ground,kg,007440-10-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
04202046-6556-11dd-ad8b-0800200c9a66,primary energy from geothermics,ElementaryFlow,Resources / Resources from ground,MJ,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
04202047-6556-11dd-ad8b-0800200c9a66,primary energy from hydro power,ElementaryFlow,Resources / Resources from water,MJ,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
04202048-6556-11dd-ad8b-0800200c9a66,primary energy from solar energy,ElementaryFlow,Resources / Resources from air,MJ,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
04202049-6556-11dd-ad8b-0800200c9a66,primary energy from waves,ElementaryFlow,Resources / Resources from water,MJ,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
0420204a-6556-11dd-ad8b-0800200c9a66,primary energy from wind power,ElementaryFlow,Resources / Resources from air,MJ,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
056c4c4b-6ded-4c00-8d56-3869aff02bd0,Neutral salts,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
05d4147c-59c1-46df-8df9-3971fab75779,from dump site,ElementaryFlow,Land use / Land transformation,m2,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
