id,name,partType,variant,mass_g,status
PART_CUSTOM_CONTACT,Custom Gripper contact element,Jaw/Finger/Cup/Pole,official-custom,,reference
PART_CUSTOM_INTERFACE,Custom Gripper interface/adaptor,Interface,official-custom,,reference
PART_LARGE_CONTACT,Large Gripper contact element,Jaw/Finger/Cup/Pole,official-large,,reference
PART_LARGE_INTERFACE,Large Gripper interface/adaptor,Interface,official-large,,reference
PART_ADAPTIVE_CONTACT,Adaptive Gripper contact element,Jaw/Finger/Cup/Pole,official-adaptive,,reference
PART_ADAPTIVE_INTERFACE,Adaptive Gripper interface/adaptor,Interface,official-adaptive,,reference
PART_VACUUM_CONTACT,Vacuum Pump / Suction Tool contact element,Jaw/Finger/Cup/Pole,official-vacuum,,reference
PART_VACUUM_INTERFACE,Vacuum Pump / Suction Tool interface/adaptor,Interface,official-vacuum,,reference
PART_MAGNET_CONTACT,Electromagnet contact element,Jaw/Finger/Cup/Pole,official-magnetic,,reference
PART_MAGNET_INTERFACE,Electromagnet interface/adaptor,Interface,official-magnetic,,reference
PART_FLAT_PA12_CONTACT,Custom + Flat jaws / PA12 / MJF contact element,Jaw/Finger/Cup/Pole,custom-flat,,candidate
PART_FLAT_PA12_INTERFACE,Custom + Flat jaws / PA12 / MJF interface/adaptor,Interface,custom-flat,,candidate
PART_PREC_PA12_CONTACT,Custom + Precision jaws / PA12 / MJF contact element,Jaw/Finger/Cup/Pole,custom-precision,,candidate
PART_PREC_PA12_INTERFACE,Custom + Precision jaws / PA12 / MJF interface/adaptor,Interface,custom-precision,,candidate
PART_XL_PA12_CONTACT,Custom + XL jaws / PA12 / MJF contact element,Jaw/Finger/Cup/Pole,custom-xl,,candidate
PART_XL_PA12_INTERFACE,Custom + XL jaws / PA12 / MJF interface/adaptor,Interface,custom-xl,,candidate
PART_FLAT_PETG_CONTACT,Flat jaws / PETG / FFF contact element,Jaw/Finger/Cup/Pole,custom-flat,,candidate
PART_FLAT_PETG_INTERFACE,Flat jaws / PETG / FFF interface/adaptor,Interface,custom-flat,,candidate
PART_FLAT_AL_CONTACT,Flat jaws / Al6061 / CNC contact element,Jaw/Finger/Cup/Pole,custom-flat,,candidate
PART_FLAT_AL_INTERFACE,Flat jaws / Al6061 / CNC interface/adaptor,Interface,custom-flat,,candidate
PART_PREC_POM_CONTACT,Precision jaws / POM / CNC contact element,Jaw/Finger/Cup/Pole,custom-precision,,candidate
PART_PREC_POM_INTERFACE,Precision jaws / POM / CNC interface/adaptor,Interface,custom-precision,,candidate
PART_PREC_AL7075_CONTACT,Precision jaws / Al7075 / CNC contact element,Jaw/Finger/Cup/Pole,custom-precision,,candidate
PART_PREC_AL7075_INTERFACE,Precision jaws / Al7075 / CNC interface/adaptor,Interface,custom-precision,,candidate
PART_XL_CFPA_CONTACT,XL jaws / CF-PA / FFF contact element,Jaw/Finger/Cup/Pole,custom-xl,,candidate
PART_XL_CFPA_INTERFACE,XL jaws / CF-PA / FFF interface/adaptor,Interface,custom-xl,,candidate
PART_V_PA12_CONTACT,V-groove jaws / PA12 / MJF contact element,Jaw/Finger/Cup/Pole,v-groove,,candidate
PART_V_PA12_INTERFACE,V-groove jaws / PA12 / MJF interface/adaptor,Interface,v-groove,,candidate
PART_V_PETG_CONTACT,V-groove jaws / PETG / FFF contact element,Jaw/Finger/Cup/Pole,v-groove,,candidate
PART_V_PETG_INTERFACE,V-groove jaws / PETG / FFF interface/adaptor,Interface,v-groove,,candidate
