from_id,to_id,role
ART_CUSTOM,BEH_CLOSE,operating behavior
ART_CUSTOM,BEH_OPEN,operating behavior
ART_CUSTOM,BEH_RELEASE,operating behavior
ART_LARGE,BEH_CLOSE,operating behavior
ART_LARGE,BEH_OPEN,operating behavior
ART_LARGE,BEH_RELEASE,operating behavior
ART_ADAPTIVE,BEH_CLOSE,operating behavior
ART_ADAPTIVE,BEH_OPEN,operating behavior
ART_ADAPTIVE,BEH_RELEASE,operating behavior
ART_ADAPTIVE,BEH_ADAPT,operating behavior
ART_VACUUM,BEH_VACUUM,operating behavior
ART_VACUUM,BEH_RELEASE,operating behavior
ART_MAGNET,BEH_MAGNET,operating behavior
ART_MAGNET,BEH_RELEASE,operating behavior
ART_FLAT_PA12,BEH_CLOSE,operating behavior
ART_FLAT_PA12,BEH_OPEN,operating behavior
ART_FLAT_PA12,BEH_RELEASE,operating behavior
ART_PREC_PA12,BEH_CLOSE,operating behavior
ART_PREC_PA12,BEH_OPEN,operating behavior
ART_PREC_PA12,BEH_RELEASE,operating behavior
ART_XL_PA12,BEH_CLOSE,operating behavior
ART_XL_PA12,BEH_OPEN,operating behavior
ART_XL_PA12,BEH_RELEASE,operating behavior
ART_FLAT_PETG,BEH_CLOSE,operating behavior
ART_FLAT_PETG,BEH_OPEN,operating behavior
ART_FLAT_PETG,BEH_RELEASE,operating behavior
ART_FLAT_AL,BEH_CLOSE,operating behavior
ART_FLAT_AL,BEH_OPEN,operating behavior
ART_FLAT_AL,BEH_RELEASE,operating behavior
ART_PREC_POM,BEH_CLOSE,operating behavior
ART_PREC_POM,BEH_OPEN,operating behavior
ART_PREC_POM,BEH_RELEASE,operating behavior
ART_PREC_AL7075,BEH_CLOSE,operating behavior
ART_PREC_AL7075,BEH_OPEN,operating behavior
ART_PREC_AL7075,BEH_RELEASE,operating behavior
ART_XL_CFPA,BEH_CLOSE,operating behavior
ART_XL_CFPA,BEH_OPEN,operating behavior
ART_XL_CFPA,BEH_RELEASE,operating behavior
ART_V_PA12,BEH_CLOSE,operating behavior
ART_V_PA12,BEH_OPEN,operating behavior
ART_V_PA12,BEH_RELEASE,operating behavior
ART_V_PETG,BEH_CLOSE,operating behavior
ART_V_PETG,BEH_OPEN,operating behavior
ART_V_PETG,BEH_RELEASE,operating behavior
ART_V_POM,BEH_CLOSE,operating behavior
ART_V_POM,BEH_OPEN,operating behavior
ART_V_POM,BEH_RELEASE,operating behavior
ART_V_AL,BEH_CLOSE,operating behavior
ART_V_AL,BEH_OPEN,operating behavior
ART_V_AL,BEH_RELEASE,operating behavior
ART_CONC_PA12,BEH_CLOSE,operating behavior
ART_CONC_PA12,BEH_OPEN,operating behavior
ART_CONC_PA12,BEH_RELEASE,operating behavior
ART_CONC_POM,BEH_CLOSE,operating behavior
ART_CONC_POM,BEH_OPEN,operating behavior
ART_CONC_POM,BEH_RELEASE,operating behavior
ART_TPU_PAD,BEH_CLOSE,operating behavior
