from_id,to_id,order
IAM_PCF,IC_CLIMATE,1
IAM_EF31,IC_CLIMATE,1
IAM_EF31,IC_ENERGY,2
IAM_EF31,IC_WASTE,3
IAM_EF31,IC_EF_CLIMATE_BIOGENIC,1
IAM_EF31,IC_EF_CLIMATE_FOSSIL,2
IAM_EF31,IC_EF_CLIMATE_LULUC,3
IAM_EF31,IC_EF_RESOURCE_FOSSILS,4
IAM_EF31,IC_EF_RESOURCE_MINERALS,5
IAM_EF31,IC_EF_WATER_USE,6
IAM_EF31,IC_EF_LAND_USE,7
IAM_EF31,IC_EF_CLIMATE_TOTAL,8
IAM_EF31,IC_EF_EUTROPH_FRESHWATER,9
IAM_EF31,IC_EF_PARTICULATE_MATTER,10
IAM_EF31,IC_EF_PHOTOCHEM_OZONE,11
IAM_EF31,IC_EF_ACIDIFICATION,12
IAM_EF31,IC_EF_EUTROPH_TERRESTRIAL,13
IAM_EF31,IC_EF_EUTROPH_MARINE,14
IAM_EF31,IC_EF_HUMANTOX_CANCER,15
IAM_EF31,IC_EF_ECOTOX_FRESHWATER,16
IAM_EF31,IC_EF_OZONE_DEPLETION,17
IAM_EF31,IC_EF_IONISING_RADIATION,18
IAM_EF31,IC_EF_HUMANTOX_NONCANCER,19
