from_id,to_id,quantity,unit,role
ART_CUSTOM,ASSY_CUSTOM,1,pcs,main assembly
ART_LARGE,ASSY_LARGE,1,pcs,main assembly
ART_ADAPTIVE,ASSY_ADAPTIVE,1,pcs,main assembly
ART_VACUUM,ASSY_VACUUM,1,pcs,main assembly
ART_MAGNET,ASSY_MAGNET,1,pcs,main assembly
ART_FLAT_PA12,ASSY_FLAT_PA12,1,pcs,main assembly
ART_PREC_PA12,ASSY_PREC_PA12,1,pcs,main assembly
ART_XL_PA12,ASSY_XL_PA12,1,pcs,main assembly
ART_FLAT_PETG,ASSY_FLAT_PETG,1,pcs,main assembly
ART_FLAT_AL,ASSY_FLAT_AL,1,pcs,main assembly
ART_PREC_POM,ASSY_PREC_POM,1,pcs,main assembly
ART_PREC_AL7075,ASSY_PREC_AL7075,1,pcs,main assembly
ART_XL_CFPA,ASSY_XL_CFPA,1,pcs,main assembly
ART_V_PA12,ASSY_V_PA12,1,pcs,main assembly
ART_V_PETG,ASSY_V_PETG,1,pcs,main assembly
ART_V_POM,ASSY_V_POM,1,pcs,main assembly
ART_V_AL,ASSY_V_AL,1,pcs,main assembly
ART_CONC_PA12,ASSY_CONC_PA12,1,pcs,main assembly
ART_CONC_POM,ASSY_CONC_POM,1,pcs,main assembly
ART_TPU_PAD,ASSY_TPU_PAD,1,pcs,main assembly
ART_SIL_PAD,ASSY_SIL_PAD,1,pcs,main assembly
ART_FINRAY_TPU,ASSY_FINRAY_TPU,1,pcs,main assembly
ART_FINRAY_TPE,ASSY_FINRAY_TPE,1,pcs,main assembly
ART_LONG_CFPA,ASSY_LONG_CFPA,1,pcs,main assembly
ART_LONG_AL,ASSY_LONG_AL,1,pcs,main assembly
ART_THIN_POM,ASSY_THIN_POM,1,pcs,main assembly
ART_THIN_STEEL,ASSY_THIN_STEEL,1,pcs,main assembly
ART_INTERNAL_PA12,ASSY_INTERNAL_PA12,1,pcs,main assembly
ART_INTERNAL_AL,ASSY_INTERNAL_AL,1,pcs,main assembly
ART_3FINGER_PA12,ASSY_3FINGER_PA12,1,pcs,main assembly
ART_SOFT_SIL,ASSY_SOFT_SIL,1,pcs,main assembly
ART_VAC_SMALL_NBR,ASSY_VAC_SMALL_NBR,1,pcs,main assembly
ART_VAC_LARGE_SIL,ASSY_VAC_LARGE_SIL,1,pcs,main assembly
ART_VAC_ARRAY,ASSY_VAC_ARRAY,1,pcs,main assembly
ART_MAG_SMALL,ASSY_MAG_SMALL,1,pcs,main assembly
ART_MAG_WIDE,ASSY_MAG_WIDE,1,pcs,main assembly
ART_HYBRID,ASSY_HYBRID,1,pcs,main assembly
ART_FLAT_ABS,ASSY_FLAT_ABS,1,pcs,main assembly
ART_FLAT_ASA,ASSY_FLAT_ASA,1,pcs,main assembly
ART_FLAT_PLA,ASSY_FLAT_PLA,1,pcs,main assembly
ART_PREC_PA11,ASSY_PREC_PA11,1,pcs,main assembly
ART_PREC_PC,ASSY_PREC_PC,1,pcs,main assembly
ART_PU_PAD,ASSY_PU_PAD,1,pcs,main assembly
