from_id,to_id,quantity,unit,role
ASSY_CUSTOM,PART_CUSTOM_CONTACT,2,pcs,primary contact
ASSY_CUSTOM,PART_CUSTOM_INTERFACE,1,pcs,robot interface
ASSY_LARGE,PART_LARGE_CONTACT,2,pcs,primary contact
ASSY_LARGE,PART_LARGE_INTERFACE,1,pcs,robot interface
ASSY_ADAPTIVE,PART_ADAPTIVE_CONTACT,2,pcs,primary contact
ASSY_ADAPTIVE,PART_ADAPTIVE_INTERFACE,1,pcs,robot interface
ASSY_VACUUM,PART_VACUUM_CONTACT,1,pcs,primary contact
ASSY_VACUUM,PART_VACUUM_INTERFACE,1,pcs,robot interface
ASSY_MAGNET,PART_MAGNET_CONTACT,1,pcs,primary contact
ASSY_MAGNET,PART_MAGNET_INTERFACE,1,pcs,robot interface
ASSY_FLAT_PA12,PART_FLAT_PA12_CONTACT,2,pcs,primary contact
ASSY_FLAT_PA12,PART_FLAT_PA12_INTERFACE,1,pcs,robot interface
ASSY_PREC_PA12,PART_PREC_PA12_CONTACT,2,pcs,primary contact
ASSY_PREC_PA12,PART_PREC_PA12_INTERFACE,1,pcs,robot interface
ASSY_XL_PA12,PART_XL_PA12_CONTACT,2,pcs,primary contact
ASSY_XL_PA12,PART_XL_PA12_INTERFACE,1,pcs,robot interface
ASSY_FLAT_PETG,PART_FLAT_PETG_CONTACT,2,pcs,primary contact
ASSY_FLAT_PETG,PART_FLAT_PETG_INTERFACE,1,pcs,robot interface
ASSY_FLAT_AL,PART_FLAT_AL_CONTACT,2,pcs,primary contact
ASSY_FLAT_AL,PART_FLAT_AL_INTERFACE,1,pcs,robot interface
ASSY_PREC_POM,PART_PREC_POM_CONTACT,2,pcs,primary contact
ASSY_PREC_POM,PART_PREC_POM_INTERFACE,1,pcs,robot interface
ASSY_PREC_AL7075,PART_PREC_AL7075_CONTACT,2,pcs,primary contact
ASSY_PREC_AL7075,PART_PREC_AL7075_INTERFACE,1,pcs,robot interface
ASSY_XL_CFPA,PART_XL_CFPA_CONTACT,2,pcs,primary contact
ASSY_XL_CFPA,PART_XL_CFPA_INTERFACE,1,pcs,robot interface
ASSY_V_PA12,PART_V_PA12_CONTACT,2,pcs,primary contact
ASSY_V_PA12,PART_V_PA12_INTERFACE,1,pcs,robot interface
ASSY_V_PETG,PART_V_PETG_CONTACT,2,pcs,primary contact
ASSY_V_PETG,PART_V_PETG_INTERFACE,1,pcs,robot interface
ASSY_V_POM,PART_V_POM_CONTACT,2,pcs,primary contact
ASSY_V_POM,PART_V_POM_INTERFACE,1,pcs,robot interface
ASSY_V_AL,PART_V_AL_CONTACT,2,pcs,primary contact
ASSY_V_AL,PART_V_AL_INTERFACE,1,pcs,robot interface
ASSY_CONC_PA12,PART_CONC_PA12_CONTACT,2,pcs,primary contact
ASSY_CONC_PA12,PART_CONC_PA12_INTERFACE,1,pcs,robot interface
ASSY_CONC_POM,PART_CONC_POM_CONTACT,2,pcs,primary contact
ASSY_CONC_POM,PART_CONC_POM_INTERFACE,1,pcs,robot interface
ASSY_TPU_PAD,PART_TPU_PAD_CONTACT,2,pcs,primary contact
ASSY_TPU_PAD,PART_TPU_PAD_INTERFACE,1,pcs,robot interface
ASSY_SIL_PAD,PART_SIL_PAD_CONTACT,2,pcs,primary contact
ASSY_SIL_PAD,PART_SIL_PAD_INTERFACE,1,pcs,robot interface
ASSY_FINRAY_TPU,PART_FINRAY_TPU_CONTACT,2,pcs,primary contact
ASSY_FINRAY_TPU,PART_FINRAY_TPU_INTERFACE,1,pcs,robot interface
ASSY_FINRAY_TPE,PART_FINRAY_TPE_CONTACT,2,pcs,primary contact
ASSY_FINRAY_TPE,PART_FINRAY_TPE_INTERFACE,1,pcs,robot interface
ASSY_LONG_CFPA,PART_LONG_CFPA_CONTACT,2,pcs,primary contact
ASSY_LONG_CFPA,PART_LONG_CFPA_INTERFACE,1,pcs,robot interface
ASSY_LONG_AL,PART_LONG_AL_CONTACT,2,pcs,primary contact
ASSY_LONG_AL,PART_LONG_AL_INTERFACE,1,pcs,robot interface
ASSY_THIN_POM,PART_THIN_POM_CONTACT,2,pcs,primary contact
