from_id,to_id,role
DATA_0001,DQ_MANUF,fitness/confidence
DATA_0002,DQ_MANUAL,fitness/confidence
DATA_0003,DQ_MANUF,fitness/confidence
DATA_0004,DQ_MANUF,fitness/confidence
DATA_0005,DQ_MANUF,fitness/confidence
DATA_0006,DQ_MANUAL,fitness/confidence
DATA_0007,DQ_MANUF,fitness/confidence
DATA_0008,DQ_MANUF,fitness/confidence
DATA_0009,DQ_MANUF,fitness/confidence
DATA_0010,DQ_MANUAL,fitness/confidence
DATA_0011,DQ_MANUF,fitness/confidence
DATA_0012,DQ_MANUF,fitness/confidence
DATA_0013,DQ_MANUF,fitness/confidence
DATA_0014,DQ_MANUF,fitness/confidence
DATA_0015,DQ_MANUF,fitness/confidence
DATA_0016,DQ_MANUF,fitness/confidence
DATA_0017,DQ_CONCEPT,fitness/confidence
DATA_0018,DQ_CONCEPT,fitness/confidence
DATA_0019,DQ_CONCEPT,fitness/confidence
DATA_0020,DQ_CONCEPT,fitness/confidence
DATA_0022,DQ_SCREW_JOIN,fitness/confidence
