from_id,to_id,role
PROC_MJF,PART_CUSTOM_CONTACT,manufactures contact element
PROC_FINISH,PART_CUSTOM_CONTACT,optional finishing
PROC_MJF,PART_LARGE_CONTACT,manufactures contact element
PROC_FINISH,PART_LARGE_CONTACT,optional finishing
PROC_MJF,PART_ADAPTIVE_CONTACT,manufactures contact element
PROC_FINISH,PART_ADAPTIVE_CONTACT,optional finishing
PROC_RUBBER,PART_VACUUM_CONTACT,manufactures contact element
PROC_FINISH,PART_VACUUM_CONTACT,optional finishing
PROC_CNC,PART_MAGNET_CONTACT,manufactures contact element
PROC_FINISH,PART_MAGNET_CONTACT,optional finishing
PROC_MJF,PART_FLAT_PA12_CONTACT,manufactures contact element
PROC_FINISH,PART_FLAT_PA12_CONTACT,optional finishing
PROC_MJF,PART_PREC_PA12_CONTACT,manufactures contact element
PROC_FINISH,PART_PREC_PA12_CONTACT,optional finishing
PROC_MJF,PART_XL_PA12_CONTACT,manufactures contact element
PROC_FINISH,PART_XL_PA12_CONTACT,optional finishing
PROC_FFF,PART_FLAT_PETG_CONTACT,manufactures contact element
PROC_FINISH,PART_FLAT_PETG_CONTACT,optional finishing
PROC_CNC,PART_FLAT_AL_CONTACT,manufactures contact element
PROC_FINISH,PART_FLAT_AL_CONTACT,optional finishing
PROC_CNC,PART_PREC_POM_CONTACT,manufactures contact element
PROC_FINISH,PART_PREC_POM_CONTACT,optional finishing
PROC_CNC,PART_PREC_AL7075_CONTACT,manufactures contact element
PROC_FINISH,PART_PREC_AL7075_CONTACT,optional finishing
PROC_FFF,PART_XL_CFPA_CONTACT,manufactures contact element
PROC_FINISH,PART_XL_CFPA_CONTACT,optional finishing
PROC_MJF,PART_V_PA12_CONTACT,manufactures contact element
PROC_FINISH,PART_V_PA12_CONTACT,optional finishing
PROC_FFF,PART_V_PETG_CONTACT,manufactures contact element
PROC_FINISH,PART_V_PETG_CONTACT,optional finishing
PROC_CNC,PART_V_POM_CONTACT,manufactures contact element
PROC_FINISH,PART_V_POM_CONTACT,optional finishing
PROC_CNC,PART_V_AL_CONTACT,manufactures contact element
PROC_FINISH,PART_V_AL_CONTACT,optional finishing
PROC_MJF,PART_CONC_PA12_CONTACT,manufactures contact element
PROC_FINISH,PART_CONC_PA12_CONTACT,optional finishing
PROC_CNC,PART_CONC_POM_CONTACT,manufactures contact element
PROC_FINISH,PART_CONC_POM_CONTACT,optional finishing
