from_id,to_id,sequence,role
PROC_MJF,EX_PROC_MJF_FLOW_PA12_IN,1,input
PROC_MJF,EX_PROC_MJF_FLOW_ELEC_IN,2,input
PROC_SLS,EX_PROC_SLS_FLOW_PA12_IN,1,input
PROC_SLS,EX_PROC_SLS_FLOW_ELEC_IN,2,input
PROC_FFF,EX_PROC_FFF_FLOW_PETG_IN,1,input
PROC_FFF,EX_PROC_FFF_FLOW_ELEC_IN,2,input
PROC_CNC,EX_PROC_CNC_FLOW_AL_IN,1,input
PROC_CNC,EX_PROC_CNC_FLOW_ELEC_IN,2,input
PROC_LASER,EX_PROC_LASER_FLOW_STEEL_IN,1,input
PROC_LASER,EX_PROC_LASER_FLOW_ELEC_IN,2,input
PROC_BEND,EX_PROC_BEND_FLOW_STEEL_IN,1,input
PROC_BEND,EX_PROC_BEND_FLOW_ELEC_IN,2,input
PROC_SILCAST,EX_PROC_SILCAST_FLOW_SIL_IN,1,input
PROC_SILCAST,EX_PROC_SILCAST_FLOW_ELEC_IN,2,input
PROC_RUBBER,EX_PROC_RUBBER_FLOW_SIL_IN,1,input
PROC_RUBBER,EX_PROC_RUBBER_FLOW_ELEC_IN,2,input
PROC_OVERMOLD,EX_PROC_OVERMOLD_FLOW_TPU_IN,1,input
PROC_OVERMOLD,EX_PROC_OVERMOLD_FLOW_ELEC_IN,2,input
PROC_MJF,EX_PROC_MJF_FLOW_PART_OUT,1,output
PROC_MJF,EX_PROC_MJF_FLOW_WASTE_OUT,2,output
PROC_SLS,EX_PROC_SLS_FLOW_PART_OUT,1,output
PROC_SLS,EX_PROC_SLS_FLOW_WASTE_OUT,2,output
PROC_FFF,EX_PROC_FFF_FLOW_PART_OUT,1,output
PROC_FFF,EX_PROC_FFF_FLOW_WASTE_OUT,2,output
PROC_CNC,EX_PROC_CNC_FLOW_PART_OUT,1,output
PROC_CNC,EX_PROC_CNC_FLOW_WASTE_OUT,2,output
PROC_LASER,EX_PROC_LASER_FLOW_PART_OUT,1,output
PROC_LASER,EX_PROC_LASER_FLOW_WASTE_OUT,2,output
PROC_BEND,EX_PROC_BEND_FLOW_PART_OUT,1,output
PROC_BEND,EX_PROC_BEND_FLOW_WASTE_OUT,2,output
PROC_SILCAST,EX_PROC_SILCAST_FLOW_PART_OUT,1,output
PROC_SILCAST,EX_PROC_SILCAST_FLOW_WASTE_OUT,2,output
PROC_RUBBER,EX_PROC_RUBBER_FLOW_PART_OUT,1,output
PROC_RUBBER,EX_PROC_RUBBER_FLOW_WASTE_OUT,2,output
PROC_OVERMOLD,EX_PROC_OVERMOLD_FLOW_PART_OUT,1,output
PROC_OVERMOLD,EX_PROC_OVERMOLD_FLOW_WASTE_OUT,2,output
