from_id,to_id,role
ART_CUSTOM,FEAT_EASY,design feature
ART_CUSTOM,FEAT_PARALLEL,design feature
ART_CUSTOM,FEAT_PRINTABLE,design feature
ART_CUSTOM,FEAT_RUBBER,design feature
ART_LARGE,FEAT_EASY,design feature
ART_LARGE,FEAT_PARALLEL,design feature
ART_LARGE,FEAT_RUBBER,design feature
ART_ADAPTIVE,FEAT_EASY,design feature
ART_ADAPTIVE,FEAT_ADAPTIVE,design feature
ART_ADAPTIVE,FEAT_INTERNAL,design feature
ART_ADAPTIVE,FEAT_RUBBER,design feature
ART_VACUUM,FEAT_EASY,design feature
ART_VACUUM,FEAT_SUCTION,design feature
ART_MAGNET,FEAT_EASY,design feature
ART_MAGNET,FEAT_MAGNET,design feature
ART_FLAT_PA12,FEAT_PRINTABLE,design feature
ART_FLAT_PA12,FEAT_PARALLEL,design feature
ART_PREC_PA12,FEAT_PRINTABLE,design feature
ART_PREC_PA12,FEAT_PRECISION,design feature
ART_XL_PA12,FEAT_PRINTABLE,design feature
ART_XL_PA12,FEAT_LONG,design feature
ART_FLAT_PETG,FEAT_PRINTABLE,design feature
ART_FLAT_PETG,FEAT_PARALLEL,design feature
ART_FLAT_AL,FEAT_PARALLEL,design feature
ART_PREC_POM,FEAT_PRECISION,design feature
ART_PREC_AL7075,FEAT_PRECISION,design feature
ART_XL_CFPA,FEAT_LONG,design feature
ART_V_PA12,FEAT_VGROOVE,design feature
ART_V_PETG,FEAT_VGROOVE,design feature
ART_V_POM,FEAT_VGROOVE,design feature
ART_V_AL,FEAT_VGROOVE,design feature
ART_CONC_PA12,FEAT_CONCAVE,design feature
ART_CONC_POM,FEAT_CONCAVE,design feature
ART_TPU_PAD,FEAT_SOFT,design feature
ART_TPU_PAD,FEAT_RUBBER,design feature
ART_SIL_PAD,FEAT_SOFT,design feature
ART_FINRAY_TPU,FEAT_FINRAY,design feature
ART_FINRAY_TPU,FEAT_SOFT,design feature
ART_FINRAY_TPE,FEAT_FINRAY,design feature
ART_FINRAY_TPE,FEAT_SOFT,design feature
ART_LONG_CFPA,FEAT_LONG,design feature
ART_LONG_AL,FEAT_LONG,design feature
ART_THIN_POM,FEAT_PRECISION,design feature
ART_THIN_STEEL,FEAT_PRECISION,design feature
ART_THIN_STEEL,FEAT_SOFT,design feature
ART_INTERNAL_PA12,FEAT_INTERNAL,design feature
ART_INTERNAL_AL,FEAT_INTERNAL,design feature
ART_3FINGER_PA12,FEAT_ADAPTIVE,design feature
ART_SOFT_SIL,FEAT_SOFT,design feature
ART_VAC_SMALL_NBR,FEAT_SUCTION,design feature
ART_VAC_LARGE_SIL,FEAT_SUCTION,design feature
ART_VAC_ARRAY,FEAT_SUCTION,design feature
ART_MAG_SMALL,FEAT_MAGNET,design feature
ART_MAG_WIDE,FEAT_MAGNET,design feature
ART_HYBRID,FEAT_SOFT,design feature
ART_HYBRID,FEAT_PRINTABLE,design feature
ART_FLAT_ABS,FEAT_PRINTABLE,design feature
ART_FLAT_ABS,FEAT_PARALLEL,design feature
ART_FLAT_ASA,FEAT_PRINTABLE,design feature
ART_FLAT_ASA,FEAT_PARALLEL,design feature
ART_FLAT_PLA,FEAT_PRINTABLE,design feature
ART_FLAT_PLA,FEAT_PARALLEL,design feature
ART_PREC_PA11,FEAT_PRECISION,design feature
ART_PREC_PC,FEAT_PRECISION,design feature
ART_PU_PAD,FEAT_SOFT,design feature
ART_PU_PAD,FEAT_RUBBER,design feature
