from_id,to_id,role
PART_CUSTOM_CONTACT,FORM_FLAT,contact geometry
PART_LARGE_CONTACT,FORM_XL,contact geometry
PART_ADAPTIVE_CONTACT,FORM_SOFT,contact geometry
PART_VACUUM_CONTACT,FORM_SUCTION_SMALL,contact geometry
PART_MAGNET_CONTACT,FORM_MAG_SMALL,contact geometry
PART_FLAT_PA12_CONTACT,FORM_FLAT,contact geometry
PART_PREC_PA12_CONTACT,FORM_PRECISION,contact geometry
PART_XL_PA12_CONTACT,FORM_XL,contact geometry
PART_FLAT_PETG_CONTACT,FORM_FLAT,contact geometry
PART_FLAT_AL_CONTACT,FORM_FLAT,contact geometry
PART_PREC_POM_CONTACT,FORM_PRECISION,contact geometry
PART_PREC_AL7075_CONTACT,FORM_PRECISION,contact geometry
PART_XL_CFPA_CONTACT,FORM_XL,contact geometry
PART_V_PA12_CONTACT,FORM_V,contact geometry
PART_V_PETG_CONTACT,FORM_V,contact geometry
PART_V_POM_CONTACT,FORM_V,contact geometry
PART_V_AL_CONTACT,FORM_V,contact geometry
PART_CONC_PA12_CONTACT,FORM_CONCAVE,contact geometry
PART_CONC_POM_CONTACT,FORM_CONCAVE,contact geometry
PART_TPU_PAD_CONTACT,FORM_SOFT,contact geometry
PART_SIL_PAD_CONTACT,FORM_SOFT,contact geometry
PART_FINRAY_TPU_CONTACT,FORM_FINRAY,contact geometry
PART_FINRAY_TPE_CONTACT,FORM_FINRAY,contact geometry
PART_LONG_CFPA_CONTACT,FORM_LONG,contact geometry
PART_LONG_AL_CONTACT,FORM_LONG,contact geometry
PART_THIN_POM_CONTACT,FORM_PRECISION,contact geometry
PART_THIN_STEEL_CONTACT,FORM_PRECISION,contact geometry
PART_INTERNAL_PA12_CONTACT,FORM_INTERNAL,contact geometry
PART_INTERNAL_AL_CONTACT,FORM_INTERNAL,contact geometry
PART_3FINGER_PA12_CONTACT,FORM_SOFT,contact geometry
PART_SOFT_SIL_CONTACT,FORM_SOFT,contact geometry
PART_VAC_SMALL_NBR_CONTACT,FORM_SUCTION_SMALL,contact geometry
PART_VAC_LARGE_SIL_CONTACT,FORM_SUCTION_LARGE,contact geometry
PART_VAC_ARRAY_CONTACT,FORM_SUCTION_ARRAY,contact geometry
PART_MAG_SMALL_CONTACT,FORM_MAG_SMALL,contact geometry
PART_MAG_WIDE_CONTACT,FORM_MAG_WIDE,contact geometry
PART_HYBRID_CONTACT,FORM_SOFT,contact geometry
PART_FLAT_ABS_CONTACT,FORM_FLAT,contact geometry
PART_FLAT_ASA_CONTACT,FORM_FLAT,contact geometry
PART_FLAT_PLA_CONTACT,FORM_FLAT,contact geometry
PART_PREC_PA11_CONTACT,FORM_PRECISION,contact geometry
PART_PREC_PC_CONTACT,FORM_PRECISION,contact geometry
PART_PU_PAD_CONTACT,FORM_SOFT,contact geometry
