from_id,to_id,role
ART_CUSTOM,PLAN_CUSTOM,manufacturing/lifecycle plan
ART_LARGE,PLAN_LARGE,manufacturing/lifecycle plan
ART_ADAPTIVE,PLAN_ADAPTIVE,manufacturing/lifecycle plan
ART_VACUUM,PLAN_VACUUM,manufacturing/lifecycle plan
ART_MAGNET,PLAN_MAGNET,manufacturing/lifecycle plan
ART_FLAT_PA12,PLAN_FLAT_PA12,manufacturing/lifecycle plan
ART_PREC_PA12,PLAN_PREC_PA12,manufacturing/lifecycle plan
ART_XL_PA12,PLAN_XL_PA12,manufacturing/lifecycle plan
ART_FLAT_PETG,PLAN_FLAT_PETG,manufacturing/lifecycle plan
ART_FLAT_AL,PLAN_FLAT_AL,manufacturing/lifecycle plan
ART_PREC_POM,PLAN_PREC_POM,manufacturing/lifecycle plan
ART_PREC_AL7075,PLAN_PREC_AL7075,manufacturing/lifecycle plan
ART_XL_CFPA,PLAN_XL_CFPA,manufacturing/lifecycle plan
ART_V_PA12,PLAN_V_PA12,manufacturing/lifecycle plan
ART_V_PETG,PLAN_V_PETG,manufacturing/lifecycle plan
ART_V_POM,PLAN_V_POM,manufacturing/lifecycle plan
ART_V_AL,PLAN_V_AL,manufacturing/lifecycle plan
ART_CONC_PA12,PLAN_CONC_PA12,manufacturing/lifecycle plan
ART_CONC_POM,PLAN_CONC_POM,manufacturing/lifecycle plan
ART_TPU_PAD,PLAN_TPU_PAD,manufacturing/lifecycle plan
ART_SIL_PAD,PLAN_SIL_PAD,manufacturing/lifecycle plan
ART_FINRAY_TPU,PLAN_FINRAY_TPU,manufacturing/lifecycle plan
ART_FINRAY_TPE,PLAN_FINRAY_TPE,manufacturing/lifecycle plan
ART_LONG_CFPA,PLAN_LONG_CFPA,manufacturing/lifecycle plan
ART_LONG_AL,PLAN_LONG_AL,manufacturing/lifecycle plan
ART_THIN_POM,PLAN_THIN_POM,manufacturing/lifecycle plan
ART_THIN_STEEL,PLAN_THIN_STEEL,manufacturing/lifecycle plan
ART_INTERNAL_PA12,PLAN_INTERNAL_PA12,manufacturing/lifecycle plan
ART_INTERNAL_AL,PLAN_INTERNAL_AL,manufacturing/lifecycle plan
ART_3FINGER_PA12,PLAN_3FINGER_PA12,manufacturing/lifecycle plan
ART_SOFT_SIL,PLAN_SOFT_SIL,manufacturing/lifecycle plan
ART_VAC_SMALL_NBR,PLAN_VAC_SMALL_NBR,manufacturing/lifecycle plan
ART_VAC_LARGE_SIL,PLAN_VAC_LARGE_SIL,manufacturing/lifecycle plan
ART_VAC_ARRAY,PLAN_VAC_ARRAY,manufacturing/lifecycle plan
ART_MAG_SMALL,PLAN_MAG_SMALL,manufacturing/lifecycle plan
ART_MAG_WIDE,PLAN_MAG_WIDE,manufacturing/lifecycle plan
ART_HYBRID,PLAN_HYBRID,manufacturing/lifecycle plan
ART_FLAT_ABS,PLAN_FLAT_ABS,manufacturing/lifecycle plan
ART_FLAT_ASA,PLAN_FLAT_ASA,manufacturing/lifecycle plan
ART_FLAT_PLA,PLAN_FLAT_PLA,manufacturing/lifecycle plan
ART_PREC_PA11,PLAN_PREC_PA11,manufacturing/lifecycle plan
ART_PREC_PC,PLAN_PREC_PC,manufacturing/lifecycle plan
ART_PU_PAD,PLAN_PU_PAD,manufacturing/lifecycle plan
