from_id,to_id,role
ART_CUSTOM,CP_OPENING,technical property
ART_CUSTOM,CP_MASS,technical property
ART_CUSTOM,CP_TCP,technical property
ART_LARGE,CP_OPENING,technical property
ART_LARGE,CP_MASS,technical property
ART_LARGE,CP_TCP,technical property
ART_ADAPTIVE,CP_OPENING,technical property
ART_ADAPTIVE,CP_MASS,technical property
ART_ADAPTIVE,CP_TCP,technical property
ART_VACUUM,CP_MASS,technical property
ART_VACUUM,CP_TCP,technical property
ART_MAGNET,CP_MASS,technical property
ART_MAGNET,CP_TCP,technical property
ART_FLAT_PA12,CP_MASS,technical property (not calculated)
ART_FLAT_PA12,CP_TCP,technical property (not calculated)
ART_FLAT_PA12,CP_OPENING,technical property (not calculated)
ART_FLAT_PA12,CP_STIFFNESS,technical property (not calculated)
ART_FLAT_PA12,CP_GRIP_FORCE,technical property (not calculated)
ART_FLAT_PA12,CP_CONTACT_PRESSURE,technical property (not calculated)
ART_FLAT_PA12,CP_DISASSEMBLY,technical property (not calculated)
ART_PREC_PA12,CP_MASS,technical property (not calculated)
ART_PREC_PA12,CP_TCP,technical property (not calculated)
ART_PREC_PA12,CP_OPENING,technical property (not calculated)
ART_PREC_PA12,CP_STIFFNESS,technical property (not calculated)
ART_PREC_PA12,CP_GRIP_FORCE,technical property (not calculated)
ART_PREC_PA12,CP_CONTACT_PRESSURE,technical property (not calculated)
ART_PREC_PA12,CP_DISASSEMBLY,technical property (not calculated)
ART_XL_PA12,CP_MASS,technical property (not calculated)
ART_XL_PA12,CP_TCP,technical property (not calculated)
ART_XL_PA12,CP_OPENING,technical property (not calculated)
ART_XL_PA12,CP_STIFFNESS,technical property (not calculated)
ART_XL_PA12,CP_GRIP_FORCE,technical property (not calculated)
ART_XL_PA12,CP_CONTACT_PRESSURE,technical property (not calculated)
ART_XL_PA12,CP_DISASSEMBLY,technical property (not calculated)
ART_FLAT_PETG,CP_MASS,technical property (not calculated)
ART_FLAT_PETG,CP_TCP,technical property (not calculated)
ART_FLAT_PETG,CP_OPENING,technical property (not calculated)
ART_FLAT_PETG,CP_STIFFNESS,technical property (not calculated)
ART_FLAT_PETG,CP_GRIP_FORCE,technical property (not calculated)
ART_FLAT_PETG,CP_CONTACT_PRESSURE,technical property (not calculated)
ART_FLAT_PETG,CP_DISASSEMBLY,technical property (not calculated)
ART_FLAT_AL,CP_MASS,technical property (not calculated)
ART_FLAT_AL,CP_TCP,technical property (not calculated)
ART_FLAT_AL,CP_OPENING,technical property (not calculated)
ART_FLAT_AL,CP_STIFFNESS,technical property (not calculated)
ART_FLAT_AL,CP_GRIP_FORCE,technical property (not calculated)
ART_FLAT_AL,CP_CONTACT_PRESSURE,technical property (not calculated)
ART_FLAT_AL,CP_DISASSEMBLY,technical property (not calculated)
ART_PREC_POM,CP_MASS,technical property (not calculated)
ART_PREC_POM,CP_TCP,technical property (not calculated)
ART_PREC_POM,CP_OPENING,technical property (not calculated)
