from_id,to_id,role
ASS_CUSTOM,RES_CUSTOM_CC,climate result
ASS_LARGE,RES_LARGE_CC,climate result
ASS_ADAPTIVE,RES_ADAPTIVE_CC,climate result
ASS_VACUUM,RES_VACUUM_CC,climate result
ASS_MAGNET,RES_MAGNET_CC,climate result
ASS_FLAT_PA12,RES_FLAT_PA12_CC,climate result
ASS_PREC_PA12,RES_PREC_PA12_CC,climate result
ASS_XL_PA12,RES_XL_PA12_CC,climate result
ASS_FLAT_PETG,RES_FLAT_PETG_CC,climate result
ASS_FLAT_AL,RES_FLAT_AL_CC,climate result
ASS_PREC_POM,RES_PREC_POM_CC,climate result
ASS_PREC_AL7075,RES_PREC_AL7075_CC,climate result
ASS_XL_CFPA,RES_XL_CFPA_CC,climate result
ASS_V_PA12,RES_V_PA12_CC,climate result
ASS_V_PETG,RES_V_PETG_CC,climate result
ASS_V_POM,RES_V_POM_CC,climate result
ASS_V_AL,RES_V_AL_CC,climate result
ASS_CONC_PA12,RES_CONC_PA12_CC,climate result
ASS_CONC_POM,RES_CONC_POM_CC,climate result
ASS_TPU_PAD,RES_TPU_PAD_CC,climate result
ASS_SIL_PAD,RES_SIL_PAD_CC,climate result
ASS_FINRAY_TPU,RES_FINRAY_TPU_CC,climate result
ASS_FINRAY_TPE,RES_FINRAY_TPE_CC,climate result
ASS_LONG_CFPA,RES_LONG_CFPA_CC,climate result
ASS_LONG_AL,RES_LONG_AL_CC,climate result
ASS_THIN_POM,RES_THIN_POM_CC,climate result
ASS_THIN_STEEL,RES_THIN_STEEL_CC,climate result
ASS_INTERNAL_PA12,RES_INTERNAL_PA12_CC,climate result
ASS_INTERNAL_AL,RES_INTERNAL_AL_CC,climate result
ASS_3FINGER_PA12,RES_3FINGER_PA12_CC,climate result
ASS_SOFT_SIL,RES_SOFT_SIL_CC,climate result
ASS_VAC_SMALL_NBR,RES_VAC_SMALL_NBR_CC,climate result
ASS_VAC_LARGE_SIL,RES_VAC_LARGE_SIL_CC,climate result
ASS_VAC_ARRAY,RES_VAC_ARRAY_CC,climate result
ASS_MAG_SMALL,RES_MAG_SMALL_CC,climate result
ASS_MAG_WIDE,RES_MAG_WIDE_CC,climate result
ASS_HYBRID,RES_HYBRID_CC,climate result
ASS_FLAT_ABS,RES_FLAT_ABS_CC,climate result
ASS_FLAT_ASA,RES_FLAT_ASA_CC,climate result
ASS_FLAT_PLA,RES_FLAT_PLA_CC,climate result
ASS_PREC_PA11,RES_PREC_PA11_CC,climate result
ASS_PREC_PC,RES_PREC_PC_CC,climate result
ASS_PU_PAD,RES_PU_PAD_CC,climate result
