from_id,to_id,role
PLAN_CUSTOM,SC_SMALL_CUBE,representative gripping scenario
PLAN_LARGE,SC_LARGE_BOX,representative gripping scenario
PLAN_ADAPTIVE,SC_EGG,representative gripping scenario
PLAN_VACUUM,SC_PLATE,representative gripping scenario
PLAN_MAGNET,SC_SMALL_SCREW,representative gripping scenario
PLAN_FLAT_PA12,SC_LARGE_BOX,representative gripping scenario
PLAN_PREC_PA12,SC_PCB,representative gripping scenario
PLAN_XL_PA12,SC_LARGE_BOX,representative gripping scenario
PLAN_FLAT_PETG,SC_LARGE_BOX,representative gripping scenario
PLAN_FLAT_AL,SC_LARGE_BOX,representative gripping scenario
PLAN_PREC_POM,SC_PCB,representative gripping scenario
PLAN_PREC_AL7075,SC_PCB,representative gripping scenario
PLAN_XL_CFPA,SC_LARGE_BOX,representative gripping scenario
PLAN_V_PA12,SC_AL_TUBE,representative gripping scenario
PLAN_V_PETG,SC_AL_TUBE,representative gripping scenario
PLAN_V_POM,SC_AL_TUBE,representative gripping scenario
PLAN_V_AL,SC_STEEL_TUBE,representative gripping scenario
PLAN_CONC_PA12,SC_BALL,representative gripping scenario
PLAN_CONC_POM,SC_BALL,representative gripping scenario
PLAN_TPU_PAD,SC_GLASS,representative gripping scenario
PLAN_SIL_PAD,SC_GLASS,representative gripping scenario
PLAN_FINRAY_TPU,SC_EGG,representative gripping scenario
PLAN_FINRAY_TPE,SC_EGG,representative gripping scenario
PLAN_LONG_CFPA,SC_SMALL_CUBE,representative gripping scenario
PLAN_LONG_AL,SC_SMALL_CUBE,representative gripping scenario
PLAN_THIN_POM,SC_PCB,representative gripping scenario
PLAN_THIN_STEEL,SC_PCB,representative gripping scenario
PLAN_INTERNAL_PA12,SC_AL_TUBE,representative gripping scenario
PLAN_INTERNAL_AL,SC_AL_TUBE,representative gripping scenario
PLAN_3FINGER_PA12,SC_BALL,representative gripping scenario
PLAN_SOFT_SIL,SC_EGG,representative gripping scenario
PLAN_VAC_SMALL_NBR,SC_PLATE,representative gripping scenario
PLAN_VAC_LARGE_SIL,SC_GLASS,representative gripping scenario
PLAN_VAC_ARRAY,SC_GLASS,representative gripping scenario
PLAN_MAG_SMALL,SC_SMALL_SCREW,representative gripping scenario
PLAN_MAG_WIDE,SC_STEEL_PLATE,representative gripping scenario
PLAN_HYBRID,SC_GLASS,representative gripping scenario
PLAN_FLAT_ABS,SC_LARGE_BOX,representative gripping scenario
PLAN_FLAT_ASA,SC_LARGE_BOX,representative gripping scenario
PLAN_FLAT_PLA,SC_LARGE_BOX,representative gripping scenario
PLAN_PREC_PA11,SC_PCB,representative gripping scenario
PLAN_PREC_PC,SC_PCB,representative gripping scenario
PLAN_PU_PAD,SC_GLASS,representative gripping scenario
