from_id,to_id,role
ASS_CUSTOM,ART_CUSTOM,solution alternative
ASS_LARGE,ART_LARGE,solution alternative
ASS_ADAPTIVE,ART_ADAPTIVE,solution alternative
ASS_VACUUM,ART_VACUUM,solution alternative
ASS_MAGNET,ART_MAGNET,solution alternative
ASS_FLAT_PA12,ART_FLAT_PA12,solution alternative
ASS_PREC_PA12,ART_PREC_PA12,solution alternative
ASS_XL_PA12,ART_XL_PA12,solution alternative
ASS_FLAT_PETG,ART_FLAT_PETG,solution alternative
ASS_FLAT_AL,ART_FLAT_AL,solution alternative
ASS_PREC_POM,ART_PREC_POM,solution alternative
ASS_PREC_AL7075,ART_PREC_AL7075,solution alternative
ASS_XL_CFPA,ART_XL_CFPA,solution alternative
ASS_V_PA12,ART_V_PA12,solution alternative
ASS_V_PETG,ART_V_PETG,solution alternative
ASS_V_POM,ART_V_POM,solution alternative
ASS_V_AL,ART_V_AL,solution alternative
ASS_CONC_PA12,ART_CONC_PA12,solution alternative
ASS_CONC_POM,ART_CONC_POM,solution alternative
ASS_TPU_PAD,ART_TPU_PAD,solution alternative
ASS_SIL_PAD,ART_SIL_PAD,solution alternative
ASS_FINRAY_TPU,ART_FINRAY_TPU,solution alternative
ASS_FINRAY_TPE,ART_FINRAY_TPE,solution alternative
ASS_LONG_CFPA,ART_LONG_CFPA,solution alternative
ASS_LONG_AL,ART_LONG_AL,solution alternative
ASS_THIN_POM,ART_THIN_POM,solution alternative
ASS_THIN_STEEL,ART_THIN_STEEL,solution alternative
ASS_INTERNAL_PA12,ART_INTERNAL_PA12,solution alternative
ASS_INTERNAL_AL,ART_INTERNAL_AL,solution alternative
ASS_3FINGER_PA12,ART_3FINGER_PA12,solution alternative
ASS_SOFT_SIL,ART_SOFT_SIL,solution alternative
ASS_VAC_SMALL_NBR,ART_VAC_SMALL_NBR,solution alternative
ASS_VAC_LARGE_SIL,ART_VAC_LARGE_SIL,solution alternative
ASS_VAC_ARRAY,ART_VAC_ARRAY,solution alternative
ASS_MAG_SMALL,ART_MAG_SMALL,solution alternative
ASS_MAG_WIDE,ART_MAG_WIDE,solution alternative
ASS_HYBRID,ART_HYBRID,solution alternative
ASS_FLAT_ABS,ART_FLAT_ABS,solution alternative
ASS_FLAT_ASA,ART_FLAT_ASA,solution alternative
ASS_FLAT_PLA,ART_FLAT_PLA,solution alternative
ASS_PREC_PA11,ART_PREC_PA11,solution alternative
ASS_PREC_PC,ART_PREC_PC,solution alternative
ASS_PU_PAD,ART_PU_PAD,solution alternative
