from_id,to_id,role
ART_CUSTOM,SP_PARALLEL,primary gripping principle
ART_LARGE,SP_PARALLEL,primary gripping principle
ART_ADAPTIVE,SP_ADAPTIVE,primary gripping principle
ART_VACUUM,SP_VACUUM,primary gripping principle
ART_MAGNET,SP_MAGNET,primary gripping principle
ART_FLAT_PA12,SP_PARALLEL,primary gripping principle
ART_PREC_PA12,SP_PARALLEL,primary gripping principle
ART_XL_PA12,SP_PARALLEL,primary gripping principle
ART_FLAT_PETG,SP_PARALLEL,primary gripping principle
ART_FLAT_AL,SP_PARALLEL,primary gripping principle
ART_PREC_POM,SP_PARALLEL,primary gripping principle
ART_PREC_AL7075,SP_PARALLEL,primary gripping principle
ART_XL_CFPA,SP_PARALLEL,primary gripping principle
ART_V_PA12,SP_PARALLEL,primary gripping principle
ART_V_PETG,SP_PARALLEL,primary gripping principle
ART_V_POM,SP_PARALLEL,primary gripping principle
ART_V_AL,SP_PARALLEL,primary gripping principle
ART_CONC_PA12,SP_PARALLEL,primary gripping principle
ART_CONC_POM,SP_PARALLEL,primary gripping principle
ART_TPU_PAD,SP_SOFT,primary gripping principle
ART_SIL_PAD,SP_SOFT,primary gripping principle
ART_FINRAY_TPU,SP_FINRAY,primary gripping principle
ART_FINRAY_TPE,SP_FINRAY,primary gripping principle
ART_LONG_CFPA,SP_PARALLEL,primary gripping principle
ART_LONG_AL,SP_PARALLEL,primary gripping principle
ART_THIN_POM,SP_PARALLEL,primary gripping principle
ART_THIN_STEEL,SP_SOFT,primary gripping principle
ART_INTERNAL_PA12,SP_INTERNAL,primary gripping principle
ART_INTERNAL_AL,SP_INTERNAL,primary gripping principle
ART_3FINGER_PA12,SP_THREE,primary gripping principle
ART_SOFT_SIL,SP_SOFT,primary gripping principle
ART_VAC_SMALL_NBR,SP_VACUUM,primary gripping principle
ART_VAC_LARGE_SIL,SP_VACUUM,primary gripping principle
ART_VAC_ARRAY,SP_VACUUM,primary gripping principle
ART_MAG_SMALL,SP_MAGNET,primary gripping principle
ART_MAG_WIDE,SP_MAGNET,primary gripping principle
ART_HYBRID,SP_SOFT,primary gripping principle
ART_FLAT_ABS,SP_PARALLEL,primary gripping principle
ART_FLAT_ASA,SP_PARALLEL,primary gripping principle
ART_FLAT_PLA,SP_PARALLEL,primary gripping principle
ART_PREC_PA11,SP_PARALLEL,primary gripping principle
ART_PREC_PC,SP_PARALLEL,primary gripping principle
ART_PU_PAD,SP_SOFT,primary gripping principle
