from_id,to_id,role
EX_PROC_MJF_FLOW_PA12_IN,FLOW_PA12,referenced flow
EX_PROC_MJF_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_SLS_FLOW_PA12_IN,FLOW_PA12,referenced flow
EX_PROC_SLS_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_FFF_FLOW_PETG_IN,FLOW_PETG,referenced flow
EX_PROC_FFF_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_CNC_FLOW_AL_IN,FLOW_ALUMINUM,referenced flow
EX_PROC_CNC_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_LASER_FLOW_STEEL_IN,FLOW_STEEL,referenced flow
EX_PROC_LASER_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_BEND_FLOW_STEEL_IN,FLOW_STEEL,referenced flow
EX_PROC_BEND_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_SILCAST_FLOW_SIL_IN,FLOW_SILICONE,referenced flow
EX_PROC_SILCAST_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_RUBBER_FLOW_SIL_IN,FLOW_SILICONE,referenced flow
EX_PROC_RUBBER_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_OVERMOLD_FLOW_TPU_IN,FLOW_TPU,referenced flow
EX_PROC_OVERMOLD_FLOW_ELEC_IN,FLOW_ELECTRICITY,referenced flow
EX_PROC_MJF_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_MJF_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_SLS_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_SLS_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_FFF_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_FFF_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_CNC_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_CNC_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_LASER_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_LASER_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_BEND_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_BEND_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_SILCAST_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_SILCAST_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_RUBBER_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_RUBBER_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
EX_PROC_OVERMOLD_FLOW_PART_OUT,FLOW_COMPONENT,referenced flow
EX_PROC_OVERMOLD_FLOW_WASTE_OUT,FLOW_WASTE,referenced flow
