from_id,to_id,verificationStatus
ART_CUSTOM,REQ_COMPAT,documented
ART_CUSTOM,REQ_PAYLOAD,documented
ART_CUSTOM,REQ_TRACE,documented
ART_LARGE,REQ_COMPAT,documented
ART_LARGE,REQ_PAYLOAD,documented
ART_LARGE,REQ_TRACE,documented
ART_ADAPTIVE,REQ_COMPAT,documented
ART_ADAPTIVE,REQ_PAYLOAD,documented
ART_ADAPTIVE,REQ_TRACE,documented
ART_VACUUM,REQ_COMPAT,documented
ART_VACUUM,REQ_PAYLOAD,documented
ART_VACUUM,REQ_TRACE,documented
ART_MAGNET,REQ_COMPAT,documented
ART_MAGNET,REQ_PAYLOAD,documented
ART_MAGNET,REQ_TRACE,documented
ART_FLAT_PA12,REQ_COMPAT,requires validation
ART_FLAT_PA12,REQ_PAYLOAD,requires validation
ART_FLAT_PA12,REQ_TRACE,requires validation
ART_PREC_PA12,REQ_COMPAT,requires validation
ART_PREC_PA12,REQ_PAYLOAD,requires validation
ART_PREC_PA12,REQ_TRACE,requires validation
ART_XL_PA12,REQ_COMPAT,requires validation
ART_XL_PA12,REQ_PAYLOAD,requires validation
ART_XL_PA12,REQ_TRACE,requires validation
ART_FLAT_PETG,REQ_COMPAT,requires validation
ART_FLAT_PETG,REQ_PAYLOAD,requires validation
ART_FLAT_PETG,REQ_TRACE,requires validation
ART_FLAT_AL,REQ_COMPAT,requires validation
ART_FLAT_AL,REQ_PAYLOAD,requires validation
ART_FLAT_AL,REQ_TRACE,requires validation
ART_PREC_POM,REQ_COMPAT,requires validation
ART_PREC_POM,REQ_PAYLOAD,requires validation
ART_PREC_POM,REQ_TRACE,requires validation
ART_PREC_AL7075,REQ_COMPAT,requires validation
ART_PREC_AL7075,REQ_PAYLOAD,requires validation
ART_PREC_AL7075,REQ_TRACE,requires validation
ART_XL_CFPA,REQ_COMPAT,requires validation
ART_XL_CFPA,REQ_PAYLOAD,requires validation
ART_XL_CFPA,REQ_TRACE,requires validation
ART_V_PA12,REQ_COMPAT,requires validation
ART_V_PA12,REQ_PAYLOAD,requires validation
ART_V_PA12,REQ_TRACE,requires validation
ART_V_PETG,REQ_COMPAT,requires validation
ART_V_PETG,REQ_PAYLOAD,requires validation
ART_V_PETG,REQ_TRACE,requires validation
