from_id,to_id,suitability,rationale
ART_CUSTOM,SC_SMALL_CUBE,candidate fit,Functional/geometric material-principle screening
ART_CUSTOM,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_CUSTOM,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_LARGE,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_LARGE,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_LARGE,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_ADAPTIVE,SC_EGG,candidate fit,Functional/geometric material-principle screening
ART_ADAPTIVE,SC_CUP,candidate fit,Functional/geometric material-principle screening
ART_ADAPTIVE,SC_AL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_ADAPTIVE,SC_BALL,candidate fit,Functional/geometric material-principle screening
ART_ADAPTIVE,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_VACUUM,SC_PLATE,candidate fit,Functional/geometric material-principle screening
ART_VACUUM,SC_STEEL_PLATE,candidate fit,Functional/geometric material-principle screening
ART_VACUUM,SC_GLASS,candidate fit,Functional/geometric material-principle screening
ART_MAGNET,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_MAGNET,SC_WASHER,candidate fit,Functional/geometric material-principle screening
ART_MAGNET,SC_NUT,candidate fit,Functional/geometric material-principle screening
ART_MAGNET,SC_STEEL_PLATE,candidate fit,Functional/geometric material-principle screening
ART_MAGNET,SC_STEEL_TUBE,candidate fit,Functional/geometric material-principle screening
ART_FLAT_PA12,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_FLAT_PA12,SC_FOAM,candidate fit,Functional/geometric material-principle screening
ART_FLAT_PETG,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_FLAT_PETG,SC_FOAM,candidate fit,Functional/geometric material-principle screening
ART_FLAT_AL,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_PREC_PA12,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_PREC_PA12,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_PREC_PA12,SC_NUT,candidate fit,Functional/geometric material-principle screening
ART_PREC_POM,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_PREC_POM,SC_SMALL_SCREW,candidate fit,Functional/geometric material-principle screening
ART_PREC_AL7075,SC_PCB,candidate fit,Functional/geometric material-principle screening
ART_PREC_AL7075,SC_NUT,candidate fit,Functional/geometric material-principle screening
ART_XL_PA12,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
ART_XL_PA12,SC_BOTTLE,candidate fit,Functional/geometric material-principle screening
ART_XL_CFPA,SC_LARGE_BOX,candidate fit,Functional/geometric material-principle screening
