from_id,to_id,role
ASS_CUSTOM,IAM_PCF,screening method
ASS_LARGE,IAM_PCF,screening method
ASS_ADAPTIVE,IAM_PCF,screening method
ASS_VACUUM,IAM_PCF,screening method
ASS_MAGNET,IAM_PCF,screening method
ASS_FLAT_PA12,IAM_PCF,screening method
ASS_PREC_PA12,IAM_PCF,screening method
ASS_XL_PA12,IAM_PCF,screening method
ASS_FLAT_PETG,IAM_PCF,screening method
ASS_FLAT_AL,IAM_PCF,screening method
ASS_PREC_POM,IAM_PCF,screening method
ASS_PREC_AL7075,IAM_PCF,screening method
ASS_XL_CFPA,IAM_PCF,screening method
ASS_V_PA12,IAM_PCF,screening method
ASS_V_PETG,IAM_PCF,screening method
ASS_V_POM,IAM_PCF,screening method
ASS_V_AL,IAM_PCF,screening method
ASS_CONC_PA12,IAM_PCF,screening method
ASS_CONC_POM,IAM_PCF,screening method
ASS_TPU_PAD,IAM_PCF,screening method
ASS_SIL_PAD,IAM_PCF,screening method
ASS_FINRAY_TPU,IAM_PCF,screening method
ASS_FINRAY_TPE,IAM_PCF,screening method
ASS_LONG_CFPA,IAM_PCF,screening method
ASS_LONG_AL,IAM_PCF,screening method
ASS_THIN_POM,IAM_PCF,screening method
ASS_THIN_STEEL,IAM_PCF,screening method
ASS_INTERNAL_PA12,IAM_PCF,screening method
ASS_INTERNAL_AL,IAM_PCF,screening method
ASS_3FINGER_PA12,IAM_PCF,screening method
ASS_SOFT_SIL,IAM_PCF,screening method
ASS_VAC_SMALL_NBR,IAM_PCF,screening method
ASS_VAC_LARGE_SIL,IAM_PCF,screening method
ASS_VAC_ARRAY,IAM_PCF,screening method
ASS_MAG_SMALL,IAM_PCF,screening method
ASS_MAG_WIDE,IAM_PCF,screening method
ASS_HYBRID,IAM_PCF,screening method
ASS_FLAT_ABS,IAM_PCF,screening method
ASS_FLAT_ASA,IAM_PCF,screening method
ASS_FLAT_PLA,IAM_PCF,screening method
ASS_PREC_PA11,IAM_PCF,screening method
ASS_PREC_PC,IAM_PCF,screening method
ASS_PU_PAD,IAM_PCF,screening method
