from_id,to_id,factor,location
c38ef9cf-ae41-40a8-b018-58d9472c7cfa,IC_EF_LAND_USE,1.2706E+02,BE
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,1.45E+00,LV
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-2.8224E+02,CO
6bcfa2f7-4970-469a-ae70-d1814e8a6bc3,IC_EF_LAND_USE,1.5129E+02,FR
fe0acd60-3ddc-11dd-ae5a-0050c2490048,IC_EF_WATER_USE,1.96E+00,PL
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-2.3300E+02,CL
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,2.8725E+02,BA
9fcab08d-c0e9-490f-b594-ee023a78d5c7,IC_EF_LAND_USE,1.2076E+02,MX
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,6.3556E+01,CA
b129498b-6ff1-4025-95f4-a7f821b341c1,IC_EF_LAND_USE,-207,
32e9ce57-5c64-44fe-ba5f-e29adb467eb7,IC_EF_LAND_USE,-1.7568E+02,IN
91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,IC_EF_LAND_USE,1.7568E+02,IN
d4b314f8-1a50-45bf-b139-79dca87d197f,IC_EF_LAND_USE,-1.9535E+02,CL
9db48d2d-17e8-4b4c-b439-2aab1c3d80f2,IC_EF_LAND_USE,-2.5900E+02,NL
172ad9e0-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,5.50E-08,
dc3f4893-9db3-4d19-b108-bcd3a44ed78d,IC_EF_LAND_USE,2.5212E+02,KR
8e2bf561-a95a-402d-83c1-d737dd73523d,IC_EF_LAND_USE,131,
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-4.0499E+02,MY
8db68d81-3998-4b52-af19-2beb2ac9a98e,IC_EF_LAND_USE,1.2707E+02,CZ
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,5.5662E+01,MX
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.1963E+02,JP
39f017d4-14b0-44c2-93c6-ed6bf28332a8,IC_EF_LAND_USE,1.2828E+02,PL
29068976-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,1.62E-02,
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,2.3300E+02,CL
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-1.4557E+02,GB
d4008b63-fb71-4e00-bfda-3528c9c7e40d,IC_EF_LAND_USE,-1.1636E+02,LT
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,3.8473E+02,CO
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,1.64E+00,MY
503f7e73-748c-4f38-9b87-90805b5d1c38,IC_EF_LAND_USE,-1.6627E+02,GB
aeea42cc-4215-465f-981f-ae2ab387fbb9,IC_EF_LAND_USE,-1.4497E+02,BG
d0c20793-3df9-44d3-9c84-5fb6feedcd12,IC_EF_LAND_USE,-2.1537E+02,IT
8db68d81-3998-4b52-af19-2beb2ac9a98e,IC_EF_LAND_USE,8.5675E+01,FI
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,4.2040E+02,BA
d4008b63-fb71-4e00-bfda-3528c9c7e40d,IC_EF_LAND_USE,-1.2839E+02,NZ
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,9.1483E+01,ZA
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-7.3533E+01,TR
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,1.5178E+02,RS
da174fac-e567-42d3-99b5-a688913dc88e,IC_EF_CLIMATE_BIOGENIC,0.00E+00,
da174fac-e567-42d3-99b5-a688913dc88e,IC_EF_CLIMATE_TOTAL,0.00E+00,
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.1369E+02,LU
9fcab08d-c0e9-490f-b594-ee023a78d5c7,IC_EF_LAND_USE,9.5722E+01,CA
6d205e19-e6c2-4090-b138-01a1b9326a76,IC_EF_LAND_USE,131,
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,9.8711E+01,NO
6e70f994-480b-4836-a605-5f958a3d7ea4,IC_EF_WATER_USE,4.2950E+01,
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-2.4680E+02,IN
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,2.5643E+02,SK
1729c87c-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,6.03E-01,
91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,IC_EF_LAND_USE,1.6627E+02,GB
c0143eba-3daf-44ad-8d34-6e1d34128ace,IC_EF_LAND_USE,-8.0172E+01,US
1f30fd77-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,1.93E-04,
c38ef9cf-ae41-40a8-b018-58d9472c7cfa,IC_EF_LAND_USE,78.2,
9fcab08d-c0e9-490f-b594-ee023a78d5c7,IC_EF_LAND_USE,1.5659E+02,ZA
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,1.23E+00,LT
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,6.2644E+01,CA
b0744c5e-9859-470f-99dc-b117be5a32c5,IC_EF_LAND_USE,1.5405E+02,ES
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,2.3255E+02,KR
39f017d4-14b0-44c2-93c6-ed6bf28332a8,IC_EF_LAND_USE,1.5228E+02,FR
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,2.8246E+02,ID
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.0831E+02,MK
6e70f994-480b-4836-a605-5f958a3d7ea4,IC_EF_WATER_USE,1.25E+01,RU
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1964E+02,BA
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,1.2063E+02,UA
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,4.2950E+01,
fe0acd60-3ddc-11dd-ab5f-0050c2490048,IC_EF_RESOURCE_MINERALS,1.09E-09,
