from_id,to_id,role
PROC_ALU_EXTRUSION_IDEMAT,MAT_ALU_GENERIC,produces material
PROC_ALU_SHEET_IDEMAT,MAT_ALU_GENERIC,produces material
PROC_STEEL_SECTIONS_ILCD,MAT_STEEL_GENERIC,produces material
PROC_STEEL_HRC,MAT_STEEL_GENERIC,produces material
PROC_COPPER_WIRE_CONSMIX,MAT_COPPER_GENERIC,produces material
PROC_LEAD_SHEET_SECONDARY,MAT_LEAD_GENERIC,produces material
PROC_COPPER_SHEET_MARKETMIX,MAT_COPPER_GENERIC,produces material
PROC_LEAD_PRIMSEC_MIX,MAT_LEAD_GENERIC,produces material
PROC_COPPER_SHEET_CONSMIX,MAT_COPPER_GENERIC,produces material
PROC_STEEL_REBAR,MAT_STEEL_GENERIC,produces material
PROC_STEEL_GALV_ILCD,MAT_STEEL_GENERIC,produces material
PROC_COPPER_TUBE_MARKETMIX,MAT_COPPER_GENERIC,produces material
PROC_STEEL_GALV_RECYCLED,MAT_STEEL_GENERIC,produces material
PROC_COPPER_WIRE_MARKETMIX,MAT_COPPER_GENERIC,produces material
PROC_STEEL_SECTIONS_RECYCLED,MAT_STEEL_GENERIC,produces material
PROC_COPPER_TUBE_CONSMIX,MAT_COPPER_GENERIC,produces material
PROC_STEEL_TINPLATE,MAT_STEEL_GENERIC,produces material
PROC_STEEL_HRC_RECYCLED,MAT_STEEL_GENERIC,produces material
PROC_STEEL_HRC_ILCD,MAT_STEEL_GENERIC,produces material
PROC_STEEL_HR_SECTION,MAT_STEEL_GENERIC,produces material
PROC_ZINC_PRIMARY,MAT_ZINC_GENERIC,produces material
PROC_LEAD_PRIMARY,MAT_LEAD_GENERIC,produces material
PROC_ALU_EXTRUSION_EF,MAT_ALU_GENERIC,produces material
