from_id,to_id,sequence,share
PLAN_CUSTOM,PROC_MJF,1,1.0
PLAN_CUSTOM,PROC_SCREW,2,1.0
PLAN_CUSTOM,PROC_USE,3,1.0
PLAN_CUSTOM,PROC_REPAIR,4,1.0
PLAN_CUSTOM,PROC_RECYCLE_POLY,5,1.0
PLAN_LARGE,PROC_MJF,1,1.0
PLAN_LARGE,PROC_SCREW,2,1.0
PLAN_LARGE,PROC_USE,3,1.0
PLAN_LARGE,PROC_REPAIR,4,1.0
PLAN_LARGE,PROC_RECYCLE_POLY,5,1.0
PLAN_ADAPTIVE,PROC_MJF,1,1.0
PLAN_ADAPTIVE,PROC_SCREW,2,1.0
PLAN_ADAPTIVE,PROC_USE,3,1.0
PLAN_ADAPTIVE,PROC_REPAIR,4,1.0
PLAN_ADAPTIVE,PROC_RECYCLE_POLY,5,1.0
PLAN_VACUUM,PROC_RUBBER,1,1.0
PLAN_VACUUM,PROC_SCREW,2,1.0
PLAN_VACUUM,PROC_USE,3,1.0
PLAN_VACUUM,PROC_REPAIR,4,1.0
PLAN_VACUUM,PROC_RECYCLE_POLY,5,1.0
PLAN_MAGNET,PROC_CNC,1,1.0
PLAN_MAGNET,PROC_SCREW,2,1.0
PLAN_MAGNET,PROC_USE,3,1.0
PLAN_MAGNET,PROC_REPAIR,4,1.0
PLAN_MAGNET,PROC_RECYCLE_METAL,5,1.0
PLAN_FLAT_PA12,PROC_MJF,1,1.0
PLAN_FLAT_PA12,PROC_SCREW,2,1.0
PLAN_FLAT_PA12,PROC_USE,3,1.0
PLAN_FLAT_PA12,PROC_REPAIR,4,1.0
PLAN_FLAT_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_PREC_PA12,PROC_MJF,1,1.0
PLAN_PREC_PA12,PROC_SCREW,2,1.0
PLAN_PREC_PA12,PROC_USE,3,1.0
PLAN_PREC_PA12,PROC_REPAIR,4,1.0
PLAN_PREC_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_XL_PA12,PROC_MJF,1,1.0
PLAN_XL_PA12,PROC_SCREW,2,1.0
PLAN_XL_PA12,PROC_USE,3,1.0
PLAN_XL_PA12,PROC_REPAIR,4,1.0
PLAN_XL_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_FLAT_PETG,PROC_FFF,1,1.0
PLAN_FLAT_PETG,PROC_SCREW,2,1.0
PLAN_FLAT_PETG,PROC_USE,3,1.0
PLAN_FLAT_PETG,PROC_REPAIR,4,1.0
PLAN_FLAT_PETG,PROC_RECYCLE_POLY,5,1.0
PLAN_FLAT_AL,PROC_CNC,1,1.0
PLAN_FLAT_AL,PROC_SCREW,2,1.0
PLAN_FLAT_AL,PROC_USE,3,1.0
PLAN_FLAT_AL,PROC_REPAIR,4,1.0
PLAN_FLAT_AL,PROC_RECYCLE_METAL,5,1.0
PLAN_PREC_POM,PROC_CNC,1,1.0
PLAN_PREC_POM,PROC_SCREW,2,1.0
PLAN_PREC_POM,PROC_USE,3,1.0
PLAN_PREC_POM,PROC_REPAIR,4,1.0
PLAN_PREC_POM,PROC_RECYCLE_POLY,5,1.0
PLAN_PREC_AL7075,PROC_CNC,1,1.0
PLAN_PREC_AL7075,PROC_SCREW,2,1.0
PLAN_PREC_AL7075,PROC_USE,3,1.0
PLAN_PREC_AL7075,PROC_REPAIR,4,1.0
PLAN_PREC_AL7075,PROC_RECYCLE_METAL,5,1.0
PLAN_XL_CFPA,PROC_FFF,1,1.0
PLAN_XL_CFPA,PROC_SCREW,2,1.0
PLAN_XL_CFPA,PROC_USE,3,1.0
PLAN_XL_CFPA,PROC_REPAIR,4,1.0
PLAN_XL_CFPA,PROC_RECYCLE_POLY,5,1.0
PLAN_V_PA12,PROC_MJF,1,1.0
PLAN_V_PA12,PROC_SCREW,2,1.0
PLAN_V_PA12,PROC_USE,3,1.0
PLAN_V_PA12,PROC_REPAIR,4,1.0
PLAN_V_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_V_PETG,PROC_FFF,1,1.0
PLAN_V_PETG,PROC_SCREW,2,1.0
PLAN_V_PETG,PROC_USE,3,1.0
PLAN_V_PETG,PROC_REPAIR,4,1.0
PLAN_V_PETG,PROC_RECYCLE_POLY,5,1.0
PLAN_V_POM,PROC_CNC,1,1.0
PLAN_V_POM,PROC_SCREW,2,1.0
PLAN_V_POM,PROC_USE,3,1.0
PLAN_V_POM,PROC_REPAIR,4,1.0
PLAN_V_POM,PROC_RECYCLE_POLY,5,1.0
PLAN_V_AL,PROC_CNC,1,1.0
PLAN_V_AL,PROC_SCREW,2,1.0
PLAN_V_AL,PROC_USE,3,1.0
PLAN_V_AL,PROC_REPAIR,4,1.0
PLAN_V_AL,PROC_RECYCLE_METAL,5,1.0
PLAN_CONC_PA12,PROC_MJF,1,1.0
PLAN_CONC_PA12,PROC_SCREW,2,1.0
PLAN_CONC_PA12,PROC_USE,3,1.0
PLAN_CONC_PA12,PROC_REPAIR,4,1.0
PLAN_CONC_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_CONC_POM,PROC_CNC,1,1.0
PLAN_CONC_POM,PROC_SCREW,2,1.0
PLAN_CONC_POM,PROC_USE,3,1.0
PLAN_CONC_POM,PROC_REPAIR,4,1.0
PLAN_CONC_POM,PROC_RECYCLE_POLY,5,1.0
PLAN_TPU_PAD,PROC_FFF,1,1.0
PLAN_TPU_PAD,PROC_SCREW,2,1.0
PLAN_TPU_PAD,PROC_USE,3,1.0
PLAN_TPU_PAD,PROC_REPAIR,4,1.0
PLAN_TPU_PAD,PROC_RECYCLE_POLY,5,1.0
PLAN_SIL_PAD,PROC_SILCAST,1,1.0
PLAN_SIL_PAD,PROC_SCREW,2,1.0
PLAN_SIL_PAD,PROC_USE,3,1.0
PLAN_SIL_PAD,PROC_REPAIR,4,1.0
PLAN_SIL_PAD,PROC_RECYCLE_POLY,5,1.0
PLAN_FINRAY_TPU,PROC_FFF,1,1.0
PLAN_FINRAY_TPU,PROC_SCREW,2,1.0
PLAN_FINRAY_TPU,PROC_USE,3,1.0
PLAN_FINRAY_TPU,PROC_REPAIR,4,1.0
PLAN_FINRAY_TPU,PROC_RECYCLE_POLY,5,1.0
PLAN_FINRAY_TPE,PROC_FFF,1,1.0
PLAN_FINRAY_TPE,PROC_SCREW,2,1.0
PLAN_FINRAY_TPE,PROC_USE,3,1.0
PLAN_FINRAY_TPE,PROC_REPAIR,4,1.0
PLAN_FINRAY_TPE,PROC_RECYCLE_POLY,5,1.0
PLAN_LONG_CFPA,PROC_FFF,1,1.0
PLAN_LONG_CFPA,PROC_SCREW,2,1.0
PLAN_LONG_CFPA,PROC_USE,3,1.0
PLAN_LONG_CFPA,PROC_REPAIR,4,1.0
PLAN_LONG_CFPA,PROC_RECYCLE_POLY,5,1.0
PLAN_LONG_AL,PROC_CNC,1,1.0
PLAN_LONG_AL,PROC_SCREW,2,1.0
PLAN_LONG_AL,PROC_USE,3,1.0
PLAN_LONG_AL,PROC_REPAIR,4,1.0
PLAN_LONG_AL,PROC_RECYCLE_METAL,5,1.0
PLAN_THIN_POM,PROC_CNC,1,1.0
PLAN_THIN_POM,PROC_SCREW,2,1.0
PLAN_THIN_POM,PROC_USE,3,1.0
PLAN_THIN_POM,PROC_REPAIR,4,1.0
PLAN_THIN_POM,PROC_RECYCLE_POLY,5,1.0
PLAN_THIN_STEEL,PROC_LASER,1,1.0
PLAN_THIN_STEEL,PROC_SCREW,2,1.0
PLAN_THIN_STEEL,PROC_USE,3,1.0
PLAN_THIN_STEEL,PROC_REPAIR,4,1.0
PLAN_THIN_STEEL,PROC_RECYCLE_METAL,5,1.0
PLAN_INTERNAL_PA12,PROC_MJF,1,1.0
PLAN_INTERNAL_PA12,PROC_SCREW,2,1.0
PLAN_INTERNAL_PA12,PROC_USE,3,1.0
PLAN_INTERNAL_PA12,PROC_REPAIR,4,1.0
PLAN_INTERNAL_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_INTERNAL_AL,PROC_CNC,1,1.0
PLAN_INTERNAL_AL,PROC_SCREW,2,1.0
PLAN_INTERNAL_AL,PROC_USE,3,1.0
PLAN_INTERNAL_AL,PROC_REPAIR,4,1.0
PLAN_INTERNAL_AL,PROC_RECYCLE_METAL,5,1.0
PLAN_3FINGER_PA12,PROC_MJF,1,1.0
PLAN_3FINGER_PA12,PROC_SCREW,2,1.0
PLAN_3FINGER_PA12,PROC_USE,3,1.0
PLAN_3FINGER_PA12,PROC_REPAIR,4,1.0
PLAN_3FINGER_PA12,PROC_RECYCLE_POLY,5,1.0
PLAN_SOFT_SIL,PROC_SILCAST,1,1.0
PLAN_SOFT_SIL,PROC_SCREW,2,1.0
PLAN_SOFT_SIL,PROC_USE,3,1.0
PLAN_SOFT_SIL,PROC_REPAIR,4,1.0
PLAN_SOFT_SIL,PROC_RECYCLE_POLY,5,1.0
PLAN_VAC_SMALL_NBR,PROC_RUBBER,1,1.0
PLAN_VAC_SMALL_NBR,PROC_SCREW,2,1.0
PLAN_VAC_SMALL_NBR,PROC_USE,3,1.0
PLAN_VAC_SMALL_NBR,PROC_REPAIR,4,1.0
PLAN_VAC_SMALL_NBR,PROC_RECYCLE_POLY,5,1.0
PLAN_VAC_LARGE_SIL,PROC_SILCAST,1,1.0
PLAN_VAC_LARGE_SIL,PROC_SCREW,2,1.0
PLAN_VAC_LARGE_SIL,PROC_USE,3,1.0
PLAN_VAC_LARGE_SIL,PROC_REPAIR,4,1.0
PLAN_VAC_LARGE_SIL,PROC_RECYCLE_POLY,5,1.0
PLAN_VAC_ARRAY,PROC_MJF,1,1.0
PLAN_VAC_ARRAY,PROC_SCREW,2,1.0
PLAN_VAC_ARRAY,PROC_USE,3,1.0
PLAN_VAC_ARRAY,PROC_REPAIR,4,1.0
PLAN_VAC_ARRAY,PROC_RECYCLE_POLY,5,1.0
PLAN_MAG_SMALL,PROC_CNC,1,1.0
PLAN_MAG_SMALL,PROC_SCREW,2,1.0
PLAN_MAG_SMALL,PROC_USE,3,1.0
PLAN_MAG_SMALL,PROC_REPAIR,4,1.0
PLAN_MAG_SMALL,PROC_RECYCLE_METAL,5,1.0
PLAN_MAG_WIDE,PROC_CNC,1,1.0
PLAN_MAG_WIDE,PROC_SCREW,2,1.0
PLAN_MAG_WIDE,PROC_USE,3,1.0
PLAN_MAG_WIDE,PROC_REPAIR,4,1.0
PLAN_MAG_WIDE,PROC_RECYCLE_METAL,5,1.0
PLAN_HYBRID,PROC_OVERMOLD,1,1.0
PLAN_HYBRID,PROC_SCREW,2,1.0
PLAN_HYBRID,PROC_USE,3,1.0
PLAN_HYBRID,PROC_REPAIR,4,1.0
PLAN_HYBRID,PROC_RECYCLE_POLY,5,1.0
PLAN_FLAT_ABS,PROC_FFF,1,1.0
