from_id,to_id,contribution
RES_CUSTOM_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_CUSTOM_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_CUSTOM_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_CUSTOM_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_LARGE_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_LARGE_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_LARGE_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_LARGE_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_ADAPTIVE_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_ADAPTIVE_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_ADAPTIVE_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_ADAPTIVE_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_VACUUM_CC,EX_PROC_RUBBER_FLOW_SIL_IN,
RES_VACUUM_CC,EX_PROC_RUBBER_FLOW_ELEC_IN,
RES_VACUUM_CC,EX_PROC_RUBBER_FLOW_PART_OUT,
RES_VACUUM_CC,EX_PROC_RUBBER_FLOW_WASTE_OUT,
RES_MAGNET_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_MAGNET_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_MAGNET_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_MAGNET_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_FLAT_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_FLAT_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_FLAT_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_FLAT_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_PREC_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_PREC_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_PREC_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_PREC_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_XL_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_XL_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_XL_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_XL_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_FLAT_PETG_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_FLAT_PETG_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_FLAT_PETG_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_FLAT_PETG_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_FLAT_AL_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_FLAT_AL_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_FLAT_AL_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_FLAT_AL_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_PREC_POM_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_PREC_POM_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_PREC_POM_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_PREC_POM_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_PREC_AL7075_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_PREC_AL7075_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_PREC_AL7075_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_PREC_AL7075_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_XL_CFPA_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_XL_CFPA_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_XL_CFPA_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_XL_CFPA_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_V_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_V_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_V_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_V_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_V_PETG_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_V_PETG_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_V_PETG_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_V_PETG_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_V_POM_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_V_POM_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_V_POM_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_V_POM_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_V_AL_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_V_AL_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_V_AL_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_V_AL_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_CONC_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_CONC_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_CONC_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_CONC_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_CONC_POM_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_CONC_POM_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_CONC_POM_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_CONC_POM_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_TPU_PAD_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_TPU_PAD_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_TPU_PAD_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_TPU_PAD_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_SIL_PAD_CC,EX_PROC_SILCAST_FLOW_SIL_IN,
RES_SIL_PAD_CC,EX_PROC_SILCAST_FLOW_ELEC_IN,
RES_SIL_PAD_CC,EX_PROC_SILCAST_FLOW_PART_OUT,
RES_SIL_PAD_CC,EX_PROC_SILCAST_FLOW_WASTE_OUT,
RES_FINRAY_TPU_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_FINRAY_TPU_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_FINRAY_TPU_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_FINRAY_TPU_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_FINRAY_TPE_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_FINRAY_TPE_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_FINRAY_TPE_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_FINRAY_TPE_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_LONG_CFPA_CC,EX_PROC_FFF_FLOW_PETG_IN,
RES_LONG_CFPA_CC,EX_PROC_FFF_FLOW_ELEC_IN,
RES_LONG_CFPA_CC,EX_PROC_FFF_FLOW_PART_OUT,
RES_LONG_CFPA_CC,EX_PROC_FFF_FLOW_WASTE_OUT,
RES_LONG_AL_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_LONG_AL_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_LONG_AL_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_LONG_AL_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_THIN_POM_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_THIN_POM_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_THIN_POM_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_THIN_POM_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_THIN_STEEL_CC,EX_PROC_LASER_FLOW_STEEL_IN,
RES_THIN_STEEL_CC,EX_PROC_LASER_FLOW_ELEC_IN,
RES_THIN_STEEL_CC,EX_PROC_LASER_FLOW_PART_OUT,
RES_THIN_STEEL_CC,EX_PROC_LASER_FLOW_WASTE_OUT,
RES_INTERNAL_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_INTERNAL_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_INTERNAL_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_INTERNAL_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_INTERNAL_AL_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_INTERNAL_AL_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_INTERNAL_AL_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_INTERNAL_AL_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_3FINGER_PA12_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_3FINGER_PA12_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_3FINGER_PA12_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_3FINGER_PA12_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_SOFT_SIL_CC,EX_PROC_SILCAST_FLOW_SIL_IN,
RES_SOFT_SIL_CC,EX_PROC_SILCAST_FLOW_ELEC_IN,
RES_SOFT_SIL_CC,EX_PROC_SILCAST_FLOW_PART_OUT,
RES_SOFT_SIL_CC,EX_PROC_SILCAST_FLOW_WASTE_OUT,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_SIL_IN,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_ELEC_IN,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_PART_OUT,
RES_VAC_SMALL_NBR_CC,EX_PROC_RUBBER_FLOW_WASTE_OUT,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_SIL_IN,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_ELEC_IN,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_PART_OUT,
RES_VAC_LARGE_SIL_CC,EX_PROC_SILCAST_FLOW_WASTE_OUT,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_PA12_IN,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_ELEC_IN,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_PART_OUT,
RES_VAC_ARRAY_CC,EX_PROC_MJF_FLOW_WASTE_OUT,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_AL_IN,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_ELEC_IN,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_PART_OUT,
RES_MAG_SMALL_CC,EX_PROC_CNC_FLOW_WASTE_OUT,
RES_MAG_WIDE_CC,EX_PROC_CNC_FLOW_AL_IN,
