from_id,to_id,score,rating
DQ_MANUF,DQC_TEMP,5.0,very good
DQ_MANUF,DQC_ACC,5.0,very good
DQ_MANUF,DQC_COMP,4.0,good
DQ_MANUF,DQC_CONS,5.0,very good
DQ_MANUF,DQC_COMPAB,4.0,good
DQ_MANUAL,DQC_TEMP,3.0,medium
DQ_MANUAL,DQC_ACC,4.0,good
DQ_MANUAL,DQC_COMP,4.0,good
DQ_MANUAL,DQC_CONS,4.0,good
DQ_MANUAL,DQC_COMPAB,3.0,medium
DQ_RESELLER,DQC_TEMP,4.0,good
DQ_RESELLER,DQC_ACC,3.0,medium
DQ_RESELLER,DQC_COMP,3.0,medium
DQ_RESELLER,DQC_CONS,3.0,medium
DQ_RESELLER,DQC_COMPAB,3.0,medium
DQ_CONCEPT,DQC_TEMP,5.0,very good
DQ_CONCEPT,DQC_ACC,2.0,low
DQ_CONCEPT,DQC_COMP,2.0,low
DQ_CONCEPT,DQC_CONS,3.0,medium
DQ_CONCEPT,DQC_COMPAB,4.0,good
DQ_CONCEPT,DQC_UNC,2.0,low
DQ_SCREW_JOIN,DQC_ACC,4.0,good
DQ_SCREW_JOIN,DQC_COMP,3.0,fair (not yet verified per artifact)
