from_id,to_id,role
RES_CUSTOM_CC,IC_CLIMATE,impact category
RES_LARGE_CC,IC_CLIMATE,impact category
RES_ADAPTIVE_CC,IC_CLIMATE,impact category
RES_VACUUM_CC,IC_CLIMATE,impact category
RES_MAGNET_CC,IC_CLIMATE,impact category
RES_FLAT_PA12_CC,IC_CLIMATE,impact category
RES_PREC_PA12_CC,IC_CLIMATE,impact category
RES_XL_PA12_CC,IC_CLIMATE,impact category
RES_FLAT_PETG_CC,IC_CLIMATE,impact category
RES_FLAT_AL_CC,IC_CLIMATE,impact category
RES_PREC_POM_CC,IC_CLIMATE,impact category
RES_PREC_AL7075_CC,IC_CLIMATE,impact category
RES_XL_CFPA_CC,IC_CLIMATE,impact category
RES_V_PA12_CC,IC_CLIMATE,impact category
RES_V_PETG_CC,IC_CLIMATE,impact category
RES_V_POM_CC,IC_CLIMATE,impact category
RES_V_AL_CC,IC_CLIMATE,impact category
RES_CONC_PA12_CC,IC_CLIMATE,impact category
RES_CONC_POM_CC,IC_CLIMATE,impact category
RES_TPU_PAD_CC,IC_CLIMATE,impact category
RES_SIL_PAD_CC,IC_CLIMATE,impact category
RES_FINRAY_TPU_CC,IC_CLIMATE,impact category
RES_FINRAY_TPE_CC,IC_CLIMATE,impact category
RES_LONG_CFPA_CC,IC_CLIMATE,impact category
RES_LONG_AL_CC,IC_CLIMATE,impact category
RES_THIN_POM_CC,IC_CLIMATE,impact category
RES_THIN_STEEL_CC,IC_CLIMATE,impact category
RES_INTERNAL_PA12_CC,IC_CLIMATE,impact category
RES_INTERNAL_AL_CC,IC_CLIMATE,impact category
RES_3FINGER_PA12_CC,IC_CLIMATE,impact category
RES_SOFT_SIL_CC,IC_CLIMATE,impact category
RES_VAC_SMALL_NBR_CC,IC_CLIMATE,impact category
RES_VAC_LARGE_SIL_CC,IC_CLIMATE,impact category
RES_VAC_ARRAY_CC,IC_CLIMATE,impact category
RES_MAG_SMALL_CC,IC_CLIMATE,impact category
RES_MAG_WIDE_CC,IC_CLIMATE,impact category
RES_HYBRID_CC,IC_CLIMATE,impact category
RES_FLAT_ABS_CC,IC_CLIMATE,impact category
RES_FLAT_ASA_CC,IC_CLIMATE,impact category
RES_FLAT_PLA_CC,IC_CLIMATE,impact category
RES_PREC_PA11_CC,IC_CLIMATE,impact category
RES_PREC_PC_CC,IC_CLIMATE,impact category
RES_PU_PAD_CC,IC_CLIMATE,impact category
