from_id,to_id,role
DATA_0001,SRC_DS_CUSTOM,provenance
DATA_0002,SRC_NED2_MANUAL,provenance
DATA_0003,SRC_NIRYO_CUSTOM,provenance
DATA_0004,SRC_DS_CUSTOM,provenance
DATA_0005,SRC_DS_LARGE,provenance
DATA_0006,SRC_NED2_MANUAL,provenance
DATA_0007,SRC_NIRYO_LARGE,provenance
DATA_0008,SRC_DS_LARGE,provenance
DATA_0009,SRC_DS_ADAPTIVE,provenance
DATA_0010,SRC_NED2_MANUAL,provenance
DATA_0011,SRC_NIRYO_ADAPTIVE,provenance
DATA_0012,SRC_DS_ADAPTIVE,provenance
DATA_0013,SRC_DS_VACUUM,provenance
DATA_0014,SRC_DS_VACUUM,provenance
DATA_0015,SRC_DS_MAGNET,provenance
DATA_0016,SRC_DS_MAGNET,provenance
DATA_0017,SRC_ENGINEERING,provenance
DATA_0018,SRC_ENGINEERING,provenance
DATA_0019,SRC_ENGINEERING,provenance
DATA_0020,SRC_ENGINEERING,provenance
"DATA_0021","SRC_SPHERA_ALU_EXTRUSION_EF","provenance"
DATA_0022,SRC_SUSTAINABILITY_ENGINEERING,provenance
