from_id,to_id,role
PRODUCT_NED2,ART_CUSTOM,gripper solution alternative
PRODUCT_NED2,ART_LARGE,gripper solution alternative
PRODUCT_NED2,ART_ADAPTIVE,gripper solution alternative
PRODUCT_NED2,ART_VACUUM,gripper solution alternative
PRODUCT_NED2,ART_MAGNET,gripper solution alternative
PRODUCT_NED2,ART_FLAT_PA12,gripper solution alternative
PRODUCT_NED2,ART_PREC_PA12,gripper solution alternative
PRODUCT_NED2,ART_XL_PA12,gripper solution alternative
PRODUCT_NED2,ART_FLAT_PETG,gripper solution alternative
PRODUCT_NED2,ART_FLAT_AL,gripper solution alternative
PRODUCT_NED2,ART_PREC_POM,gripper solution alternative
PRODUCT_NED2,ART_PREC_AL7075,gripper solution alternative
PRODUCT_NED2,ART_XL_CFPA,gripper solution alternative
PRODUCT_NED2,ART_V_PA12,gripper solution alternative
PRODUCT_NED2,ART_V_PETG,gripper solution alternative
PRODUCT_NED2,ART_V_POM,gripper solution alternative
PRODUCT_NED2,ART_V_AL,gripper solution alternative
PRODUCT_NED2,ART_CONC_PA12,gripper solution alternative
PRODUCT_NED2,ART_CONC_POM,gripper solution alternative
PRODUCT_NED2,ART_TPU_PAD,gripper solution alternative
PRODUCT_NED2,ART_SIL_PAD,gripper solution alternative
PRODUCT_NED2,ART_FINRAY_TPU,gripper solution alternative
PRODUCT_NED2,ART_FINRAY_TPE,gripper solution alternative
PRODUCT_NED2,ART_LONG_CFPA,gripper solution alternative
PRODUCT_NED2,ART_LONG_AL,gripper solution alternative
PRODUCT_NED2,ART_THIN_POM,gripper solution alternative
PRODUCT_NED2,ART_THIN_STEEL,gripper solution alternative
PRODUCT_NED2,ART_INTERNAL_PA12,gripper solution alternative
PRODUCT_NED2,ART_INTERNAL_AL,gripper solution alternative
PRODUCT_NED2,ART_3FINGER_PA12,gripper solution alternative
PRODUCT_NED2,ART_SOFT_SIL,gripper solution alternative
PRODUCT_NED2,ART_VAC_SMALL_NBR,gripper solution alternative
PRODUCT_NED2,ART_VAC_LARGE_SIL,gripper solution alternative
PRODUCT_NED2,ART_VAC_ARRAY,gripper solution alternative
PRODUCT_NED2,ART_MAG_SMALL,gripper solution alternative
PRODUCT_NED2,ART_MAG_WIDE,gripper solution alternative
PRODUCT_NED2,ART_HYBRID,gripper solution alternative
PRODUCT_NED2,ART_FLAT_ABS,gripper solution alternative
PRODUCT_NED2,ART_FLAT_ASA,gripper solution alternative
PRODUCT_NED2,ART_FLAT_PLA,gripper solution alternative
PRODUCT_NED2,ART_PREC_PA11,gripper solution alternative
PRODUCT_NED2,ART_PREC_PC,gripper solution alternative
PRODUCT_NED2,ART_PU_PAD,gripper solution alternative
